Αἰάκης	Æakès, (h.)
Βοηδρομιών	Boèdromiôn, mois de la fête des Boèdromies, 3e~mois athénien (2e~moitié de septembre et 1e~d'octobre)
Βοηδρόμιος	qui accourt à l'aide, secourable
Βοηθοΐδης	le fils de Boèthoos, Étéonée
Βοηθός	Boèthos, (h.)
Βοιβηίς	le lac de Bœbè (auj. Kárla)
Βοιωτία	Béotie
Βοιωτίδιον	petit Béotien
Βοιωτίς	de Béotie
Βοιωταρχέω	être béotarque
Βοιός	Bœos
Βοιώτιος	de Béotie, Béotien ; Bœôtios
Βομίλκας	Bomilcar
Βορέης	vent du nord-nord-ouest, vent du nord ; région du nord, le nord
Βορβοροκοίτης	Couche-dans-la-boue
Βορειάς	???? Renvoi sans Issue ????
Βορεῆτις	du nord, boréal, septentrional
Βοριάδης	Boriadès
Βορραπηλιωτικός	exposé au vent du nord-est
Βορραῖος	du vent du nord ; de la région des vents du nord, boréal, septentrional
Βορυσθενίτης	riverain du Borysthène
Βορυσθενείτης	riverain du Borysthène
Βοττίαιος	de Bottie ou des Bottiæes
Βοττιαῖος	de Bottie ou des Bottiæes
Βοττική	le pays des Bottiæes
Βουβάρης	Boubarès
Βουκεφάλας	Bucéphale
Βουκολίδης	le fils de Boukolos
Βουκολίων	Boukoliôn, (v.)
Βουκόλος	Boukolos, (h.)
Βουπάλειος	de Boupalos, stupide
Βουτακίδης	Boutakidès
Βουτώ	Boutô (Butô)
Βούβαστος	Boubastos, (v.)
Βούδειον	Boudeion, (v.)
Βούδορον	Boudoron
Βούλις	Boulis, (h.)
Βούπαλος	Boupalos
Βούρα	Boura, (v.)
Βούριχος	Bourikhos, (h.)
Βούσιρις	Busiris (auj. Abousir Bana), (v.)
Βούφαγος	qui mange les bœufs
Βοῦνος	colline, hauteur
Βοῦσαι	les Bouses
Βράγχιδαι	les Brankhides ou descendants de Brankhos
Βρέννος	Brennus
Βραυρών	Braurôn (auj. Vravróna)
Βραυρώνιος	de Braurôn
Βρεντέσιον	(Brindisi), Brindes, (v.)
Βρεττανικός	de Bretagne (de Grande-Bretagne)
Βρισεύς	Brisée
Βρισηΐς	Brisèïs (Briséïs), fille de Brisée
Βρομίος	le Frémissant, le Grondant ; du dieu Bromios
Βρομερός	Broméros
Βρομιώδης	du dieu Bromios, de Bacchus, bachique
Βρομιῶτις	???? Renvoi sans Issue ????
Βρυσειαί	Bryseies, (v.)
Βρόγγος	Brongos
Βρόντης	Brontès, le Tonnant
Βρύσων	Brysôn
Βυβλίς	Byblis
Βυζάντιος	de Byzance
Βόγης	Bogès
Βόηθος	Boèthos, (h.)
Βόκχορις	Bokkhoris (Bocchoris)
Βόκχος	Bocchus
Βόλβη	Bolbè
Βύζης	Byzès, (h.)
Βύσιος	(le mois delphien) Bysios = (le mois attique) Ἐλαφηϐολιών
Βᾶς	roi, prince
Βῆλος	Bèlos, (fl.)
Βῆσσος	Bessus
Βῶρος	Bôros, (h.)
Γάγγης	le Gange, (fl.) ; Gangès, (h.)
Γάργαρον	Gargaron
Γάργαρος	Gargaros, (v.) du mt Ida
Γέλα	Géla, (v.)
Γέλων	Gélon (h.)
Γέντιος	Gentios
Γέραιστος	Géræstos (Géreste) cap Mandíli (ou Kávo Mandélos) Yérestos ; Kastrí (Kastri)
Γέργις	Gergis
Γέρρος	Gerros (fl.)
Γέσκων	Giskôn
Γέται	un Gète
Γήραιος	vieux, âgé
Γίγωνος	Gigônos, (v.)
Γίλλος	Gillos, (h.)
Γαίσων	le Gæsôn
Γαβαῖος	Gabæos, (h.)
Γαβριήλιος	Gabrièlios
Γαδειραῖος	le passage de Gadeires (auj. détroit de Gibraltar)
Γαδειρικός	de Gadeires
Γαλάται	de Galatie, Galate
Γαλάτεια	Galateia (Galatée)
Γαλάτης	de Galatie, Galate
Γαλάτων	Galatôn, peintre alexandrin
Γαλατικός	de Galatie ou de Gaule
Γαληψός	Galèpsos
Γανυμήδης	Ganymèdès (Ganymède)
Γανύκτωρ	Ganyktor, (h.)
Γαργηττός	Gargèttos
Γαυάνης	Gauanès, (h.)
Γαυλίτης	Gaulitès
Γαῖος	Gaius ou Caius, (pr. rom.)
Γαῗος	Gaius ou Caius, (pr. rom.)
Γελέοντες	les Géléontes
Γελέων	Géléon
Γελωνός	Gélônos, (v.)
Γελῷος	de Géla
Γενέτωρ	qui procrée
Γενηταίος	de Génète
Γεννάδιος	Gennadios
Γενύκιος	Genucius, (h. rom.)
Γεράνα	Gérana
Γεραιστός	Géræstos (Géreste) cap Mandíli (ou Kávo Mandélos) Yérestos ; Kastrí (Kastri)
Γερανεία	Géraneia
Γευσιστράτη	Geusistratè, (f.)
Γεφυραῖοι	les habitants de Géphyra
Γεώργιος	Géôrgios (Georges) (h.)
Γηρυονεύς	Gèryôn (Géryon)
Γιγάντιος	de géant
Γιγαντία	la guerre des Géants
Γιγαντιάς	la Gigantiade ou les Aventures des Géants
Γιγαντικός	de géant
Γιγαντολέτωρ	destructeur des Géants (Zeus, etc.)
Γιγαντοφόντις	meurtrier des géants
Γλίσας	Glisante, (v.)
Γλαυκέτης	Glaukétès, (h.)
Γλαυκονόμη	Glaukonomè
Γλαφύραι	Glaphyres, (v.)
Γλαύκη	Glaukè
Γλαύκιππος	Glaukippos (Glaucippe)
Γλαύκος	brillant, étincelant, éclatant ; de couleur glauque, d'un vert pâle ou gris
Γλαύκων	Glaukôn, (h.)
Γληνός	objet brillant ; prunelle de l'œil, pupille
Γλισᾶς	Glisante, (v.)
Γλυκέρα	Glykéra (Glycère), (f.)
Γλυκώνειος	de Glykôn
Γλύκη	Glykè, (f.)
Γνάθαινα	Gnathæna, (f.)
Γνήσιππος	Gnèsippos, (h.)
Γναῖος	dont il est séparé par une particule
Γνιφωνίδης	Gniphônidès
Γνοῦρος	Gnouros
Γνωσίδικος	Gnôsidikos
Γονόεσσα	Gonoessa, (v.)
Γοργίδας	Gorgidas, (h.)
Γοργίων	Gorgiôn, (h.)
Γοργοφόνη	fém. de γοργοφόνος (meurtrier de la Gorgone)
Γοργυθίων	Gorgythiôn, (h.)
Γοργόνιον	Gorgonion, (f.)
Γοργώπας	Gorgôpas
Γορπιαῖος	le mois (macédonien) Gorpiæos = fin d'août et commencement de septembre
Γορτύνιος	habitant ou originaire de Gortyne
Γουνεύς	Gounée, (h.)
Γράνικος	le Granique (auj. Biga Çayı ou Kocabaş Çayı) (fl.) ; Granikos (dieu de ce fleuve)
Γρήνικος	le Granique (auj. Biga Çayı ou Kocabaş Çayı) (fl.) ; Granikos (dieu de ce fleuve)
Γραικίτης	grec
Γραικός	grec
Γρανικός	le Granique (auj. Biga Çayı ou Kocabaş Çayı) (fl.) ; Granikos (dieu de ce fleuve)
Γραϊκός	grec
Γραῖκος	grec
Γρηγόριος	Grégoire, (h.) Gr. de Nazianze, Gr. de Nysse
Γρύλος	Grylos, (h.)
Γρύνειος	de Gryneion (Apollon)
Γρύττος	Gryttos, (h.)
Γυγαίη	le lac Gygæè ou de Gygès ; Gygæè, (f.)
Γυραί	les Gyres, les Roches rondes
Γυρτιάδης	le fils de Gyrtios
Γυρτώνη	Gyrtônè (auj. Ambelákia) (v.)
Γυρτώνιος	habitant de Gyrtôn
Γόγγυλος	Gongylos, (h.)
Γόννος	Gonnos, (v.)
Γόργασος	Gorgasos, (h.)
Γόργη	Gorgè, (f.)
Γόργος	Gorgos, (h.)
Γόργω	Gorgô (la Gorgone) ; n. de f.
Γόργων	Gorgôn, (h.)
Γόρδιος	Gordios, (h.)
Γόρτυνα	Gortyne (auj. ruines près d'Áyii Đeka) (v.)
Γύθιον	Gythion
Γύλιππος	Gylippos
Γύνδης	le Gyndès, (fl.)
Δάιθος	Daïthos
Δάμαρχος	Dèmarkhos (Démarque) (h.)
Δάμασος	Damasos (h.)
Δάμιππος	Damippos, (h.)
Δάμων	Dèmôn, (h.)
Δάνδης	Dandès, (h.)
Δάρης	Darès
Δάσκυλος	Daskylos, (h.)
Δάσκων	Daskôn
Δάτις	Datis
Δάτον	Daton (auj. Kavála), (v.)
Δάφνις	Daphnis
Δάφνος	Daphnos, (fl.)
Δέγμενος	être reçu l'un à la suite de l'autre, succéder
Δέκελος	Dékélos
Δέκιος	Dĕcĭus, (n. rom.)
Δέξιππος	Dexippos, (h.)
Δίαιος	Diæos
Δίη	qui vient de Zeus ou qui concerne Zeus, de Zeus ; divin
Δίκτη	Diktè
Δίκτυς	Diktys
Δίκων	Dikôn, (h.)
Δίμνος	Dimnos, (h.)
Δίομος	Diomos
Δίος	qui vient de Zeus ou qui concerne Zeus, de Zeus ; divin
Δίρκη	Dirkè (Dircé)
Δίυλλος	Diyllos, (h.)
Δίφιλος	Diphilos (Diphile)
Δίων	Diôn (Dion) (h.)
Δαΐμαχος	Daïmakhos, (h.)
Δαΐφαντος	Daïphantos, (h.)
Δαΐφρων	à l'esprit ou au cœur éprouvé
Δαίσιος	Dæsios
Δαδίκαι	les Dadikes
Δαλματία	la Dalmatie
Δαμάγητος	Dèmagètos ou Damagètos, (h.)
Δαμάγων	Dâmagôn, (h.)
Δαμάρετος	Dèmarétos, (h.)
Δαμάστης	Damastès (h.)
Δαμάτριος	Dèmètrios (Démétrius)
Δαμία	Damia
Δαμαγόρας	Dèmagoras, (h.)
Δαμασίθυμος	Damasithymos
Δαμασκός	Damas (auj. Damas ou Dimashq)
Δαμαστορίδης	le fils de Damastôr
Δαμοκλῆς	Dèmoklès, (h.)
Δαμοτέλης	Dèmotélès, (h.)
Δαμοφῶν	Dèmophoôn, ou Dèmophôn, (h.)
Δαμόκριτος	Dèmokritos, (h.)
Δαμόξενος	Damoxènos, (h.)
Δαμόστρατος	Dèmostratos
Δαμότιμος	Dèmotimos, (h.)
Δαμόφιλος	Dèmophilos, (h.)
Δαμώ	Dèmô, (f.)
Δανάη	Danaè
Δαναίδαι	les descendants de Danaos, les Argiens, les Grecs
Δαναίδες	les 50~filles de Danaos ; les descendantes de Danaos, les Argiennes
Δαναός	Danaos (h.)
Δαρδάνειος	dardanien, troyen
Δαρδάνιος	dardanien, troyen
Δαρδανία	royaume des Dardanées en Illyrie
Δαρδανίδης	fils ou descendant de Dardanos
Δαρδανίς	(femme) de Dardanie ; Troyenne
Δαρεῖται	les Dareites
Δασκυλῖτις	de Daskyleion
Δασύλλιος	le dieu aux pampres touffus (Bacchus)
Δαυλία	de Daulis
Δαυλιεύς	le Daulien, Oreste
Δαυρίσης	Daurisès
Δαύλιος	de Daulis
Δείναρχος	Deinarkhos (Dinarque)
Δείνων	Deinôn
Δεινίας	Deinias, (h.)
Δεινιάδας	Deiniadas
Δεινοκράτης	Deinokratès, (h.)
Δεινομάχη	Deinomakhè
Δεινομένης	Deinoménès, (h.)
Δεινόλοχος	Deinolokhos, (h.)
Δεινόμαχος	Deinomakhos, (h.)
Δεκέβαλος	Décébale
Δεκελειεύς	habitant ou originaire de Décélie, Décélien
Δεκελεικός	de Décélie
Δεκελειόθεν	de Décélie
Δεκελεύς	habitant ou originaire de Décélie, Décélien
Δεκελεῆθεν	de Décélie
Δελφικός	de Delphes
Δελφός	de Delphes, delphien ; Delphos (fils de Poseidôn)
Δελφύνη	Delphinè ou Delphinès, dragon gardien de l'oracle de Delphes
Δεμώ	bâtir ou construire pour son usage
Δενδρῖτης	qui concerne les arbres ; protecteur des arbres ou des arbustes, (Bacchus)
Δενδρῖτις	qui convient aux plantations d'arbres (terre) ; qui s'attache ou s'enlace aux arbres (vigne) ; qui vit de la vie d'un arbre (nymphe, dryade)
Δεξάμενος	Dexaménos, (h.)
Δεξίθεος	Dexithéos, (h.)
Δεξίνικος	Dexinikos, (h.)
Δεξαμένη	réservoir ; la matière prête à recevoir les formes
Δεξαμενός	Dexaménos, (h.)
Δεξικράτης	Dexikratès, (h.)
Δερκέτης	Derkétès, (h.)
Δερκυλίδας	Derkylidas
Δερκυλλίδας	Derkylidas
Δερκύλος	Derkylos, (h.)
Δευκαλίδης	le fils de Deucalion (Idoménée)
Δευκαλίων	Deukaliôn (Deucalion)
Δεύνυσος	Dionysos, Bacchus
Δεῖμος	l'Épouvante
Δηΐοχος	Dèïokhos, (h.)
Δηΐπυλος	Dèïpylos
Δηΐπυρος	Dèïpyros
Δηΐφοβος	Dèïphobos (Déiphobe)
Δηίμαχος	Dèïmakhos, (h.)
Δηίφονος	Dèïphonos, (h.)
Δηίων	Dèïôn, (h.)
Δηιδαμεία	Dèïdameia, (f.)
Δηιόκης	Dèïokès (Déjocès)
Δηιόνευς	Dèïonée, (h.)
Δηιόπη	Dèïopè, (f.)
Δηιών	Dèïôn, (h.)
Δηλιάς	de Dèlos
Δηλιακός	de Dèlos
Δηλιασταί	les Dèliastes
Δημ́αρατος	Dèmaratos (Démarate)
Δημ́ητριος	Dèmètrios (Démétrius)
Δημάδης	Dèmadès (Démade)
Δημάινετος	Dèmænétos, (h.)
Δημάρμενος	Dèmarménos, (h.)
Δημέας	Dèméas, (h.)
Δημαίνετος	Dèmænétos, (h.)
Δημαγ́ορας	Dèmagoras, (h.)
Δημαράτος	Dèmaratos (Démarate)
Δημαρέτη	Dèmarétè, (f.)
Δημοκήδης	Dèmokèdès
Δημοκράτης	Dèmokratès
Δημοκόων	Dèmokoôn
Δημολέων	Dèmoléôn
Δημολογοκλέων	Dèmologokléôn, Cléon-flatteur du peuple
Δημοπτόλεμος	Dèmoptolémos
Δημοσθένης	Démosthène
Δημοσθενικός	semblable à Démosthène, de Démosthène
Δημοτέλης	Dèmotélès, (h.)
Δημοτίων	Dèmotiôn, (h.)
Δημοφάνης	Dèmophanès, (h.)
Δημοχάρης	Dèmokharès, (h.)
Δημόδοκος	Dèmodokos
Δημόκριτος	Dèmokritos, (h.)
Δημόνοος	Dèmonoos, (h.)
Δημόστρατος	Dèmostratos
Δημότιμος	Dèmotimos, (h.)
Δημόφαντος	Dèmophantos, (h.)
Δημόφιλος	Dèmophilos, (h.)
Δημύλος	Dèmylos, (h.)
Δημώ	Dèmô, (f.)
Δημώναξ	Dèmônax, (h.)
Δημώνασσα	Dèmônassa, (f.)
Δηωίνη	la fille de Dèô (Perséphonè)
Δηϊκόων	Dèïkoôn, (h.)
Δηϊονεύς	Dèïonée, (h.)
Δηϊοπίτης	Dèïopitès, (h.)
Δηϊόταρος	Dejotarus, (h.)
Δηϊώνη	la fille de Dèïô ou Dèmèter (Perséphonè)
Δηῷος	de Dèô ; consacré à Dèô
Διαδρόμης	Diadromès, (h.)
Διακτορίδης	Diaktoridès, (h.)
Διδύμη	Didymè (Didyme)
Διδώ	Didon
Διηνέκης	Diènékès, (h.)
Διθυραμβογενής	né deux fois
Διιτρέφης	Diitréphès (nourrisson de Zeus)
Διιτρεφής	Diitréphès (nourrisson de Zeus)
Δικαία	Dikæa
Δικαίαρχος	Dikæarkhos (Dicéarque)
Δικαιογένης	Dikæogénès
Δινδυμήνη	la déesse de Dindymon, Kybélè (Cybèle)
Διογένης	Diogène
Διογείτων	Diogeiton
Διογενεία	Diogéneia
Διογενειανός	Diogénien, (h.)
Διοκλείδης	Diokleidès (fils ou descendant de Dioklès) (h.)
Διομέδων	Diomédôn
Διομήδειος	de Diomède
Διομήδη	Diomèdè
Διονυσοφάνης	Dionysophanès, (h.)
Διονυσόδωρος	Dionysodôros, (h.)
Διονύσος	Dionysos, Bacchus
Διοπείθης	Diopeithès, (h.)
Διοσκορίδης	Dioskoridès (Dioscoride)
Διοσκουρίδης	Dioskouridès, (h.)
Διοσκόρος	Dioskoros
Διοτίμα	Diotima
Διοτρέφης	Diotréphès, (h.)
Διοφάνης	Diophanès, (h.)
Διπαία	Dipæa, (v.)
Διπαιεύς	originaire ou habitant de Dipæa
Διπόλεια	les Dipolies
Διφρίδας	Diphridas, (h.)
Διωναῖος	de Diônè
Διόβολος	lancé par Zeus
Διόγνητος	Diognètos, (h.)
Διόδοτος	Diodotos, (h.)
Διόδωρος	Diodore, (h.)
Διόμιλος	Diomilos, (h.)
Διόμνηστος	Diomnèstos, (h.)
Διόμος	Diomos
Διόσκουροι	les Dioscures (jeunes garçons de Zeus) Castor et Pollux
Διότιμος	Diotimos, (h.)
Διόφαντος	Diophantos, (h.)
Διώρης	Diôrès
Δμήτωρ	Dmètôr (le dompteur) (h.)
Δολίος	Dolios, (h.)
Δολίχη	Dolikhè
Δολοπίων	Dolopiôn
Δομνῖνος	Domninos, (h.)
Δορίσκος	Doriskos, (Romigik Đorískos)
Δορυφόρος	qui porte une lance ; soldat armé d'une lance
Δορύλαος	Dorylaos
Δουλιχιεύς	habitant ou originaire de Doulikhion
Δούρις	Douris, (h.)
Δράβησκος	Drabèskos, (v.)
Δράκης	Drakès, (h.)
Δραβησκός	Drabèskos, (v.)
Δρακίος	Drakios, (h.)
Δρακοντίδης	Drakontidès (fils ou descendant de Dracon)
Δρομιχαίτης	Dromikhætès
Δρομοκλείδης	Dromokleidès, (h.)
Δρομῶν	Dromôn
Δρυοπίς	Dryopide
Δρύας	Dryas
Δρύμων	forêt de chênes ; forêt, bois
Δρῶοι	les Drôes
Δυμάναται	les Dymanates
Δυναμένη	Dynaménè
Δυρράχιον	Dyrrachium (auj. Durrës) (v.)
Δωδωνίς	de Dodone (chêne, prêtresse, etc.)
Δωδωναῖος	de Dodone
Δωριακός	dorien
Δωρικός	dorien
Δωρόθεος	Dôrothéos (Dorothée = présent de Dieu)
Δωρώ	Dôrô
Δωσίθεος	Dôsithéos, (h.)
Δωτώ	Dôtô
Δόβηρος	Dobèros, (v.)
Δόρισκος	Doriskos, (Romigik Đorískos)
Δόρκις	Dorkis (h.)
Δόρυκλος	Doryklos
Δόρυσσος	Doryssos, (h.)
Δύμας	Dymas
Δύμη	Dymè (auj. Káto Akhaḯa) (v.)
Δύρας	Dyras, (fl.)
Δύστρος	Dystros, 2e~mois macédonien (mars)
Δύσωρον	Dysôron
Δώριος	dorien
Δᾶμις	Dâmis, (h.)
Δᾶος	Daos
Δῖα	Dia
Δῖον	Dion
Δῶρος	Dôros
Δῶτος	Dôtos
Εἰδοθέη	Eidothéa ou Eidothéè
Εἰδομένη	Eidoménè, (v.)
Εἰδομενή	Eidoménè, (v.)
Εἰδυία	Eidyia
Εἰλέσιον	Eilésion
Εἰλιόνεια	Eileithyia
Εἰρέτρια	Érétrie
Εἰραφιώτης	ép. de Bacchus
Εἱλωτίς	femme hilote
Εἱμαρμένη	le sort fixé par le destin, le destin
Εὐάγης	exempt de souillure ; pur, clair, lumineux ; d'où la vue porte au loin
Εὐάδνη	Euadnè
Εὐάλκης	Eualkès, (h.)
Εὐάνεμος	qui procure un vent favorable
Εὐάνθης	Euanthès
Εὐέλθων	Euelthôn (bienvenu)
Εὐίππη	Euippè, (f.)
Εὐαίμων	Euhæmôn
Εὐαγόρη	Euagorè
Εὐαγόρης	Euagoras (Évagoras)
Εὐαιμονίδης	le fils d'Euhæmôn (Eurypylos)
Εὐαλκίδης	Eualkidès, (h.)
Εὐβοεύς	d'Eubée, Eubéen
Εὐβοικός	d'Eubée, Eubéen
Εὐβουλίδης	Euboulidès, (h.)
Εὐβούλη	Euboulè, (f.)
Εὐγένης	bien né ; qui est la marque d'une noble origine
Εὐδώρη	Eudôrè
Εὐελπίδης	Euelpidès (l'homme au bon espoir)
Εὐεργέσια	bonne action, action honnête ; bienfaisance, bienfait, service
Εὐετίων	Euétiôn, (h.)
Εὐηνίνη	la fllle d'Euènos (Marpessa)
Εὐηνορίδης	fils d'Euènor (Leiokritos)
Εὐηνός	Euhènos
Εὐθίας	Euthias, (h.)
Εὐθυκράτης	Euthykratès, (h.)
Εὐθυμένης	Euthyménès, (h.)
Εὐθύδημος	Euthydèmos, (h.)
Εὐθύκριτος	Euthykritos, (h.)
Εὐθύμαχος	Euthymakhos, (h.)
Εὐκλέης	illustre, glorieux
Εὐκλεία	fête d'Artémis
Εὐκλείδης	Eukleidès (Euclide)
Εὐκολίνη	la Bienveillante
Εὐκράντη	Eukrantè, (f.)
Εὐκράτης	Eukratès, (h.)
Εὐκρατίδης	Eukratidès, (h.)
Εὐκτήμων	Euktèmôn, (h.)
Εὐλαῖος	Eulæos, (h.)
Εὐλιμένη	Euliménè
Εὐμάρης	Eumarès, (h.)
Εὐμένης	Euménès (Eumène)
Εὐμήδης	Eumèdès, (h.)
Εὐμολπίδαι	les Eumolpides, descendants d'Eumolpos
Εὐνείκη	Euneikè
Εὐνόμιος	Eunomios, (h.)
Εὐξίθεος	Euxithéos, (h.)
