@Αἰάντειος	d'Ajax,	of Ajax
@Αὐτοφόνος	Autophonos, (h.)	murdering one's kin
@Αὐτόδικος	Autodikos,	with independent jurisdiction, with one's own courts
@Αὐτόνομος	Autonomos, (h.)	living under one's own laws, independent
@Αὐτόνοος	Autonoos, (h.)	instinct with sense
@Αὐτόχθων	Autokhthôn,	sprung from the land itself
@Αὔρα	Aura, (f.)	breeze
@Βάκτρα	Bactres :	Balkh
@Βάταλος	see <lang="grc">Βάτταλος</grc>	stammerer
@Βάτραχος	Batrakhos, (h.)	frog
@Βάττος	Battos :	stammerer, lisper
@Βένετος	de Vénétie, de Vénète, 	blue
@Βία	la Force ou la Violence	bodily strength, force
@Βαγαῖος	Bagæos,	bog[ucaron]
@Βαγώας	Bagôas :	BagÃ¶us
@Βασίλισσα	Basilissa, (f.)	queen
@Βασιλίσκος	Basiliskos, (h.)	princelet, chieftain
@Βασιλεύς	Basilée, « le roi »	king, chief
@Βατραχομυομαχία	Batrachomyomachie, combat de rats et de grenouilles,	battle of the frogs and mice
@Βελονοπώλης	Bélonopôlès, marchand d'aiguilles,	needle-seller
@Βενδῖς	Bendis,	Bendis, the Thracian Artemis
@Βερενίκη	Bérénikè (Bérénice)	constellation
@Βλεψίας	Blepsias, (h.)	fish
@Βοηδρόμια	les Boèdromies,	games in memory
@Βοιωτιουργής	fabriqué en Béotie,	of Boeotian work
@Βοιόν	Bœon, (v.)	cycle of fifty years
@Βορεάδης	fils de Borée ; 	son of Boreas
@Βοσπορίτης	see <lang="grc">Βοσποριανός</grc>	dweller on the Bosporus
@Βουζύγης	Bouzygès, (h.)	who first yoked oxen
@Βουκέφαλος	see <lang="grc">Βουκεφάλας</grc>	bull-headed
@Βουκαῖος	Boukæos, « bouvier »,	cowherd
@Βούτης	Boutès, (h.)	herdsman
@Βράγχος	Brankhos :	hoarseness or sore throat causing hoarseness
@Βρέττιος	du Bruttium, 	barbarous
@Βρετανικός	see <lang="grc">Βρεττανικός</grc>	scurvy-grass, Cochlearia anglica
@Βριμώ	Brimô :	the Terrible one
@Βριτόμαρτις	Britomartis, (divinité crétoise)	virgo dulcis
@Βόσπορος	Bosphore ou détroit passage pour un bœuf,	Ox-ford
@Βότρυς	Botrys :	bunch of grapes
@Βύνη	Bynè,	the sea-goddess Ino
@Βύρσα	Byrsa,	skin stripped off, hide
@Βῆσσα	Bèssa, (v.)	wooded combe, glen
@Γ	gamma, 3e~lettre de l'alphabet grec. Comme chiffre	three, third, thrice
@Γάδειρα	Gadeires :	a man of Cadiz
@Γάζα	Gaza :	treasure
@Γάλλος	prêtre de Cybèle,	priest of Cybele
@Γάμος	Gamos :	wedding
@Γάνος	see <lang="grc">Γάνος</grc>	@
@Γίγας	les Géants,	mighty
@Γαλήνη	Galènè :	stillness of the sea, calm
@Γαληνός	Galènos,	calm
@Γαλλαῖος	qui concerne les prêtres le culte de Cybèle,	of a
@Γαλλικός	de Gaule, des Gaulois, gaulois,	gelded
@Γαμηλιών	Gamèliôn, le mois des mariages, ~mois attique	it was the fashionable time for weddings
@Γαῖα	Gæa, la Terre	land, country
@Γελλώ	Gellô,	vampire or goblin
@Γενετυλλίς	la déesse qui préside à la génération ou à la naissance,	goddess of one's birth-hour
@Γεράστιος	le mois Gérastios,	a month
@Γερήνιος	originaire de Gérènos,	from Gerena
@Γηρυόνης	see <lang="grc">Γηρυών</grc>	a poem on Geryon
@Γλάνις	Glanis :	sheat-fish, Silurus
@Γλαυκώπιον	temple d'Athèna Glaukôpis,	temple of Athena Glaucopis
@Γλαῦκος	Glaukos (Glaucus) :	fish of grey colour
@Γλύκων	Glykôn :	sweet one
@Γνάθων	Gnathôn mâchoire : qui n'est rien qu'une mâchoire,	full-mouth
@Γνίφων	Gniphôn (racleur, avare ou pillard), (h.)	niggard
@Γναθώνειος	digne d'un Gnathôn, d'un parasite,	like a
@Γνώμη	Gnômè :	means of knowing
@Γογγύλος	Gongylos, (h.)	round
@Γοργάς	see <lang="grc">Γοργώ</grc>	sea-nymphs
@Γοργίειος	de Gorgias,	of Gorgias, Gorgias-like
@Γοργοφόνος	Gorgophonos, (h.)	Gorgon-killing
@Γοργόνειος	de Gorgone, 	the Gorgon's head
@Γράσος	Grasos,	smell of a goat
@Γραῖα	Græa :	old woman
@Γρόνθων	Gronthôn,	first lessons on the flute
@Γρῦλος	Grylos, (h.)	pig, porker
@Γυμνοσοφισταί	Gymnosophistes,	naked philosophers
@Γόργειος	de Gorgô (de Gorgone) 	of or belonging to the Gorgon
@Γύγης	Gygès,	bird
@Γύης	Gyès,	the curved piece of wood
@Γῆ	la Terre,	earth
@Δάειρα	Daeira (celle qui sait),	Knowing one
@Δάκτυλος	les Dactyles du mt Ida,	-finger
@Δάμνιππος	Damnippos, (h.)	horse-taming
@Δήλιος	Dèlios, (h.)	Delian
@Δήμαρχος	Dèmarkhos (Démarque) (h.)	chief official of a
@Δίδυμος	Didyme (h.) :	double, twofold
@Δίκαιος	Dikæos, (h.)	observant of custom or rule; meet and right, fitting
@Δίκη	Dikè,	custom, usage
@Δίκτυννα	la Chasseresse aux filets (Artémis)	goddess of the chase
@Δίς	see <lang="grc">Ζεύς</grc>	@
@Δαίδαλος	Dédale (Dædalos)	cunningly or curiously wrought
@Δαίμων	Dæmôn, (h.)	god, goddess
@Δαλματεῖς	les Dalmates, habitants de la Dalmatie,	Dalmatians
@Δαμάσιππος	Damasippos, (h.)	horse-taming
@Δαμασήνωρ	Damasènôr,	man-slaying
@Δαμασικόνδυλος	Coup-de-poing-vainqueur,	conquering with the knuckles
@Δαμαῖος	le Dompteur (Poseidôn)	Horse-Tamer
@Δαναοί	les descendants de Danaos, les Argiens, les Grecs,	the DanaÃ¤ns
@Δαρειογενής	descendant de Darius,	born from Darius
@Δαρεῖος	Darius (Dareios) :	DÄrayavauÅ¡ 'upholder of the Good'
@Δαυλιάς	la Daulienne, Philomèle, reine de Daulis,	woman of Daulis
@Δαφναῖος	Daphnæos, (h.)	of bay
@Δαφνηφορία	Daphnèphorie,	bay-bearing
@Δεισήνωρ	Deisènor,	fearing man
@Δεκάπολις	la Décapole,	district with ten cities, Decapolis
@Δεκέλεια	Dékéleia (Décélie)	a Decelean
@Δελφίνιος	Delphinios (Apollon),	festival of Apollo D.
@Δελφίς	de Delphes,	dolphin
@Δεξιός	Dexios, (h.)	on the right hand or side
@Δεξώ	Dexô, celle qui reçoit,	Receiver
@Δεσποσιοναῦται	Hilotes spartiates, qu'on affranchissait à condition de servir comme matelots,	who were freed on condition of serving at sea
@Δευτερονόμιον	Deutéronome seconde loi ;	second or repeated Law
@Δεχάς	Dékhas :	receptacle
@Δηλογενής	né à Dèlos,	Delos-born
@Δημάρατος	Dèmaratos (Démarate)	prayed for by the people
@Δημήτριος	de Dèmèter,	of or belonging to Demeter
@Δημητριακός	de Dèmèter,	of or belonging to Demeter
@Δημητριών	le mois Dèmètriôn,	Demetrius
@Δημιουργός	Dèmiourgos, l'Artisan,	one who works for the people, skilled workman, handicraftsman
@Δημογέρων	Damogérôn,	elder of the people
@Δημοσθένειος	de Démosthène,	Demosthenic
@Δημοσθενίζω	imiter Démosthène,	imitate Demosthenes
@Δημοῦχος	Dèmoukhos,	protectors or possessors of the land
@Δηώ	Dèô,	Demeter
@Διάκριοι	les Montagnards,	the Mountaineers
@Διάκριτος	Diakritos, (h.)	separated
@Διάσια	fêtes de Zeus	the festival of Zeus
@Διαμπερές	le Passage,	through and through, right through
@Διαπρεπής	Diaprépès, (h.)	distinguished
@Διαστί	dans la langue de Zeus, des dieux,	in the language of Zeus
@Διδυμαῖος	de Didymes,	their temple
@Δικαιόπολις	Dikæopolis, (h.)	strict in public faith
@Δικταῖος	de Diktè, 	DictÃ©
@Διογενέτωρ	qui a donné naissance à Zeus	giving birth to Zeus
@Διογενισμός	genre de vie à la Diogène,	life after the manner of Diogenes
@Διομήδης	Diomèdès (Diomède) :	Jove-counselled
@Διομειαλαζών	le vantard de Dioméies,	a braggart of the deme Diomea
@Διομηνία	colère de Zeus,	wrath of Zeus
@Διονυσαλέξανδρος	Alexandre-Dionysos,	Dionysus masquerading as Paris
@Διονυσιακός	qui concerne Dionysos ou les Dionysies : 	belonging to the Dionysia or to Dionysus
@Διονυσομανέω	être transporté des fureurs de Dionysos,	to be full of Bacchic frenzy
@Διονύσια	les Dionysies, fêtes de Dionysos,	festival of Dionysus
@Διονύσιον	temple de Dionysos,	the temple of Dionysus
@Διονύσιος	de Dionysos,	of Dionysus
@Διοσκόρειον	le temple des Dioscures,	temple of the Dioscuri
@Διπολιώδης	qui sent les Dipolies, vieux, suranné,	like the feast of Dipolia, old-world
@Διόθεν	de Zeus, de la part de Zeus, d'après l'ordre ou au gré de Zeus	sent from Zeus, according to his will
@Διόνυσος	Dionysos, Bacchus,	a
@Διόπαις	fils de Zeus (Apollon)	son of Zeus
@Διόσκοροι	les Dioscures (jeunes garçons de Zeus) Castor et Pollux	the sons of Zeus
@Διώνη	Diônè :	Dione
@Διώξιππος	Diôxippos :	horse-driving
@Δορκάς	Dorkas (Gazelle)	an animal of the deer kind
@Δράκων	Drakôn (Dracon)	dragon, serpent
@Δρακόντειος	de Dracon,	of a dragon
@Δρακόντιον	Drakontion (le petit dragon)	fish
@Δρεπάνη	Drépanè, ou Corcyre	sickle, reaping-hook
@Δριμύλος	Drimylos, (h.)	a piercing little
@Δρυάς	Dryade, nymphe dont la vie était liée à celle d'un arbre	a Dryad
@Δρυμός	Drymos ou Drymon :	copse, thicket
@Δρόμων	Dromôn :	a light vessel
@Δρύοψ	Dryope :	woodpecker
@Δρῦς	Drys, (v.)	tree
@Δυσελένα	funeste Hélène,	ill-starred Helen
@Δυσκέλαδος	Dyskélados, (île)	ill-sounding, shrieking
@Δυσνίκητος	Dysnikètos (l'invincible) (h.)	hard to conquer
@Δωδώνη	Dôdônè (Dodone) (auj. Đođóni) (v.)	chatterbox
@Δόκιμος	Dokimos, (h.)	acceptable:
@Δόλιχος	Dolikhos, (h.)	the long course
@Δόλοψ	Dolope :	lurker in ambush
@Δόλων	Dolôn,	flying jib
@Δόρκων	Dorkôn, (h.)	ship
@Δύσπαρις	malheureux ou funeste Pâris,	unhappy Paris, Paris of ill omen
@Δώσων	Dôsôn (qui doit donner, qui promet toujours)	always going to give, always promising
@Δῆλος	Dèlos (auj. Đílos)	Delos
@Δῆμος	Dèmos, (h.)	district, country, land
@Δῖνος	Dinos,	whirling, rotation
@Δῖος	Dios, le divin :	@
@Εἰλήθυια	see <lang="grc">Εἰλείθυια</grc>	comet
@Εἰλείθυια	Eileithyia,	she that comes
@Εἰρήνη	Eirènè :	peace
@Εἰρηναῖος	Eirènæos (Irénée) (h.)	peaceful
@Εὐάγγελος	Euangélos, (h.)	bringing good news
@Εὐήγορος	Euègoros, (h.)	speaking well or auspiciously
@Εὐήμερος	Euhèméros, (Évhémère)	of a fine or prosperous day
@Εὐήνιος	Euhènios,	obedient to the rein
@Εὐήνωρ	Euènor, (h.)	the joy of men
@Εὐαίνετος	Euænétos, (h.)	much-extolled
@Εὐαίων	Euæôn,	happy in life
@Εὐγένιος	Eugénios, (h.)	laurel
@Εὐγενής	Eugénès,	well-born
@Εὐγενία	Eugénia, (f.)	eugenia
@Εὐδοκία	Eudokia ou Eudokiè, (f.)	good will
@Εὐδοξία	Eudoxia, (f.)	good repute, honour
@Εὐεργέτης	Euergétès (Évergète) (h.)	benefactor
@Εὐθαλής	Euthalès, (h.)	@
@Εὐθύδικος	Euthydikos, (h.)	righteous-judging
@Εὐθύφρων	Euthyphrôn, (h.)	whole-hearted, sincere
@Εὐμαθής	Eumathès :	ready or quick at learning
@Εὐμενίδες	les Euménides (les bienveillantes)	the gracious goddesses
@Εὐνομία	Eunomia,	good order
@Εὐπάλαμος	Eupalamos, (h.)	handy, skilful, ingenious
@Εὐπάτωρ	Eupatôr,	a good father
@Εὐπέταλος	Eupétalos,	with beautiful leaves, leafy
@Εὐπολίδειος	d'Eupolis, ou à la façon d'Eupolis,	in the style of Eupolis
@Εὐπόλεμος	Eupolémos, (h.)	good at war, successful in war
@Εὐρακύλων	see <lang="grc">Εὐροκλύδων</grc>	euroaquilo
@Εὐριπίδειος	d'Euripide, 	of or like Euripides
@Εὐριπίδιον	mon petit Euripide,	little Euripides
@Εὐρυδίκεια	Eurydikeia, (f.)	festival of Eurydice
@Εὐρυκλῆς	Euryklès,	ventriloquist
@Εὐρυσάκης	Eurysakès (au large bouclier)	with broad shield
@Εὐρυφάεσσα	Euryphaessa,	Far-shining
@Εὐρωπία	see <lang="grc">Εὐρώπιος</grc>	broad surface
@Εὐρύαλος	Euryalos, (h.)	with wide threshing-floor, broad
@Εὐρύτιμος	Eurytimos, (h.)	honoured far and wide
@Εὐρώπη	Eurôpè (Europe)	Europa, Europe
@Εὐστάφυλος	l'homme aux belles grappes,	rich in grapes
@Εὐτέρπη	Euterpè (Euterpe) :	the Well-pleasing
@Εὐτράπελος	Eutrapélos, (h.)	easily turning or changing
@Εὐφίλητος	Euphilètos, (h.)	wellbeloved
@Εὐφημία	Euphèmia, (f.)	use of words of good omen
@Εὐφρονίδης	le fils d'Euphronè, de la Nuit,	son of Night
@Εὐφροσύνη	Euphrosynè :	mirth, merriment
@Εὔαγρος	Bon-chasseur (de dîners)	lucky in the chase
@Εὔαθλος	Euathlos, (h.)	successfulin contests
@Εὔανδρος	Euandros (Évandre) (h.)	abounding in good men and true
@Εὔαρχος	Euarkhos, (h.)	governing well
@Εὔδικος	Eudikos, (h.)	righteous
@Εὔδιος	Eudios, (h.)	calm, fine, clear
@Εὔδοξος	Eudoxos, (h.)	of good repute, honoured
@Εὔδωρος	Eudôros, (h.)	generous
@Εὔθηρος	Euthèros, (h.)	lucky or successful in hunting
@Εὔθυμος	Euthymos, (h.)	kind, generous
@Εὔθυνος	Euthynos, (h.)	corrector, chastiser, judge
@Εὔκλεια	Eukleia (la glorieuse)	good repute, glory
@Εὔκρατος	Eukratos, (h.)	well-tempered, temperate
@Εὔκριτος	Eukritos, (h.)	easy to decide
@Εὔμηλος	Eumèlos :	rich in sheep
@Εὔμητις	Eumètis, (f.)	wise, prudent
@Εὔμολπος	Eumolpos :	sweetly singing
@Εὔνεως	Euneôs,	well furnished with ships
@Εὔνομος	Eunomos, (h.)	under good laws, well-ordered
@Εὔνοος	Eunoos, (h.)	well-disposed, kindly, friendly
@Εὔνοστος	Eunostos,	Good Yield, tutelary genius of corn-mills
@Εὔξενος	Euxénos, (h.)	kind to strangers, hospitable
@Εὔοδος	Euodos,	easy to pass
@Εὔπλοος	Euploos, (h.)	good for sailing, fair
@Εὔπολις	Eupolis :	abounding in cities
@Εὔρυτος	Eurytos, (h.)	full-flowing
@Εὔσταχυς	Eustakhys (l'homme aux beaux épis)	rich in corn
@Εὔστροφος	Eustrophos, (h.)	well-twisted
@Εὔφημος	Euphèmos :	uttering sounds of good omen
@Εὔφρων	Euphrôn, (h.)	cheerful, merry
@Εὖρος	Euros (l'Eurus)	the East wind
@Ζάκορος	Zakoros, (h.)	attendant in a temple
@Ζάλευκος	Zaleukos,	very white
@Ζήν	see <lang="grc">Ζεύς</grc>	rain
@Ζεύξιππος	Zeuxippos, (h.)	desultor, junctor
@Ζεῦξις	Zeuxis,	yoking or manner of yoking
@Ζηνοποσειδῶν	Zènoposeidôn ou Zeus et Poseidôn,	Zeus-Poseidon
@Ζηνόφρων	qui transmet la pensée de Zeus (Apollon)	knowing the mind of Zeus
@Ζηνώνειος	de Zénon,	of Zeno
@Ζωπύρα	Zôpyra, (f.)	zopyrontion
@Ζωρός	Zôros, (h.)	pure, sheer
@Ζωστήρ	Zôstèr (auj. Bari)	a warrior's belt
@Ζώνη	Zônè, (v.)	belt, girdle
@Ζώπυρος	Zôpyros, (h.)	glowing
@Ζώσιμος	Zôsimos (Zosime)	viable
@Ζῆλος	l'Envie,	jealousy
@Θάλεια	Thaleia (Thalie)	rich, plentiful
@Θάνατος	la Mort personnifiée,	death
@Θάσιος	de Thasos,	of or from Thasos
@Θάψος	Thapsos :	fustic, Rhus Cotinus, used for dyeing yellow
@Θέμις	Thémis,	that which is laid down or established, law
@Θέρμη	Thermè, (v.)	heat
@Θέρμος	à Rome,	lupine, Lupinus albus
@Θέσπις	Thespis ;	filled with the words of God, inspired
@Θήρα	Thèra (auj. Santorin ou Thíra)	from Thera
@Θήραγρος	le Chasseur,	for catching wild beasts or game
@Θαλία	Thalia (Thalie)	abundance, good cheer
@Θαλύσια	Thalysies,	offerings of first-fruits
@Θεία	Théia,	one's father's or mother's sister, aunt
@Θεαίτητος	Théætètos (Théætète)	obtained from God
@Θεμίστιος	Thémistios (Thémiste) (h.)	patron of right
@Θεοδοσία	Théodosia (auj. Feodosia, Kaffa) de la Chersonèse Taurique,	a gift or offering to the gods
@Θεοδόσιος	Théodosios, (h.)	given by God
@Θεοδώρητος	Théodôrètos (Théodoret) (h.)	given by God
@Θεομήστωρ	Théomèstôr,	like the gods in counsel
@Θεράπνη	Thérapnè, (v.)	handmaid
@Θεραπεία	Thérapeia,	service, attendance
@Θερμοπύλαι	Thermopyles (portes chaudes, à eaux thermales)	Thermopylae, 'gate of hot springs
@Θεσμοφόρια	Thesmophories,	at the Th.
@Θεσπέσιος	Thespésios, (h.)	divinely sounding, divinely sweet
@Θεσσαλικός	de Thessalie, Thessalien,	chair or couch
@Θεσσαλός	de Thessalie, Thessalien,	shoe
@Θετίδειον	temple de Thétis,	temple of Thetis
@Θεωρία	Théôria, (f.)	sending of
@Θεωρίς	Théôris,	sacred ship, which carried the
@Θεόγνωστος	Théognôstos :	known of God
@Θεόδοτος	Théodotos, (h.)	remedy for coughs
@Θεόκριτος	Théokritos (Théocrite) :	judge of gods
@Θεόφημος	Théophèmos, (h.)	declaring God's will
@Θεώριος	Théôrios, protecteur des théories ou des théores (Apollon)	box
@Θηρίκλειος	de Thèriklès :	made by Thericles
@Θησειότριψ	qui use le temple de Thésée, mauvais esclave, toujours réfugié dans ce temple,	one who is always in the Theseum
@Θορικόνδε	à Thorikos,	to Thoricus
@Θορικός	see <lang="grc">θοραῖος</grc>	of or for the semen
@Θουριόμαντις	devin de Thurium, charlatan,	a Thurian prophet
@Θράσων	Thrasôn :	braggart
@Θρασυμήδης	Thrasymèdès :	bold of thought or plan, daring, resolute
@Θρασύμαχος	Thrasymakhos :	bold in battle
@Θρυαλλίς	Thryallis, (f.)	plantain, Plantago crassifolia
@Θρᾳκοφοίτης	qui va souvent chez les Thraces,	one who keeps going to Thrace
@Θρᾴκη	Thrace,	from Thrace
@Θρῖα	Thria,	at Thria
@Θυέστειος	de Thyeste,	of Thyestes
@Θυέστης	Thyestès (Thyeste)	pestle
@Θυγατρομιξία	inceste d'un père avec sa fille,	incest with a daughter
@Θυμός	Thymos, n. de chien,	soul, spirit
@Θυμώδης	Thymôdès, (h.)	@
@Θυνναῖος	L'homme-thon,	an offering of the first tunny-fish caught
@Θυώνη	Thyônè,	portion of sacrifice
@Θύριον	Thyrion (auj. Thýrio) d'Acarnanie,	little door, wicket
@Θύρσος	Thyrsos, (h.)	wand wreathed in ivy and vine-leaves with a pine-cone at the top
@Θώραξ	Thôrax, (h.)	corslet
@Κ	kappa, 10e~lettre de l'alphabet grec ; comme chiffre	with snaky locks
@Κάδμος	Kadmos (Cadmus) :	the Cadmeans or ancient inhabitants of Thebes
@Κάειρα	de Carie, Carienne,	Carian woman
@Κάλαμος	Kalamos,	reed
@Κάλπη	Kalpè (auj. Kirpeh)	@
@Κάμμα	Kamma,	that which is supped up
@Κάμψα	Kampsa, (v.)	basket, case
@Κάναστρον	Kanastron,	wicker basket
@Κάνθαρος	Kantharos :	dung-beetle, Scarabaeus pilularius
@Κάππαρος	Kapparos,	fish
@Κάρανος	Karanos, (h.)	a chief
@Κάτουλος	Catulus, (h. rom.)	cicatrized
@Κέκροψ	Kékrops (Cécrops)	Cecropian, Athenian
@Κέστρος	Kestros :	sharpness or roughness on the tongue
@Κέφαλος	Képhalos :	mullet
@Κέως	Kéôs (auj. Kéa ou Tiá)	Wiener Sitzb.
@Κήρινθος	Kèrinthos, (v.)	bee-bread
@Κίλισσα	de Cilicie,	Cilician woman
@Κίρκη	Kirkè (Circé)	@
@Κίσσινος	see <lang="grc">Κίσσιος</grc>	of ivy
@Κίσσιος	de Kissie, 	of or from Cissia
@Καδμειώνη	fille de Kadmos (Sémélè)	daughter of Cadmus
@Καδμῖλος	Kadmilos,	camillus
@Καιρός	l'Occasion	due measure, proportion, fitness
@Καλήτωρ	Kalètôr, (h.)	crier
@Καλαμίτης	le héros Kalamitès,	reed-like
@Καλαύρεια	Kalaureia (auj. Poro) (île)	citizen of C.
@Καλλίας	Kallias, (h.)	tame ape
@Καλλίμαχος	Kallimakhos (Callimaque) :	fighting nobly
@Καλλίμορφος	Kallimorphos,	beautifully formed
@Καλλιγένεια	fêtes de Kalligéneia,	bearer of a fair offspring
@Καλλικολώνη	Kallikolônè (la belle colline)	Fair-hill
@Καλλιόπη	Kalliopè (Calliope)	Calliope, the beautiful-voiced
@Κανδαύλης	Kandaulès (Candaule)	dog-throttler
@Καπετώλιον	see <lang="grc">Καπιτώλιον</grc>	victor in the Ludi Capitolini
@Καπνοσφράντης	Flaire-la-fumée,	smoke-sniffer
@Καρίνη	femme de Carie, Carienne,	Carian woman
@Καρδία	Kardia (auj. Kardiya, près de Bolayır) (v.)	heart
@Καρικοεργής	fait par un Carien, fait sans goût,	of Carian work
@Καρκίνος	Karkinos :	crab
@Καρτερός	Kartéros, (h.)	strong, staunch
@Κασσιτερίδες	les î. Kassitérides (aux mines d'étain)	the Cassiterides or tin-islands
@Καστόρειος	de Castor ;	of or belonging to Castor
@Κατακλῶθες	see <lang="grc">Κλῶθες</grc>	the Spinners
@Καυλομύκητες	Champignons-en-tige,	stalk-fungi
@Καυνίας	vent qui souffle de Kaunos vers Rhodes,	a wind blowing from Caunus
@Καῖσαρ	César :	elephant
@Κελαινός	see <lang="grc">Κελαιναί</grc>	black, dark
@Κελεός	Kéléos,	green woodpecker, Picus viridis
@Κελτιστί	à la manière des Celtes,	in the language of the Celts
@Κελτολίγυες	les Celtes de Ligurie,	tribes of mixed Celtic and Ligurian descent
@Κενταυρίδης	de centaure	sprung from Centaurs
@Κενταυρικός	de centaure,	like a Centaur
@Κενταυροκτόνος	tueur de centaures,	Centaur-slaying
@Κενταυρομαχία	combat de centaures,	battle
@Κενταυροπληθής	plein de centaures,	full of Centaurs
@Κενταύρειος	de centaure,	of Centaurs
@Κεντρίτης	Kentritès (auj. Bitlis) (fl.)	prickly
@Κεραμεικός	le Kérameikos (Céramique) le quartier des potiers :	the Potters' Quarter
@Κεραυνός	Kéraunos,	thunderbolt
@Κεραύνιος	voisin des mts Cérauniens,	of a thunderbolt
@Κερκέτης	le Kerkétès,	weight used to steady a ship under sail
@Κεφαλή	Képhalè,	head
@Κηπεύς	Kèpée,	gardener
@Κιλλικύριοι	classe d'esclaves,	class of serfs at Syracuse
@Κισσεύς	Kissée,	the ivy-crowned
@Κισσός	le Kissos ou Kittos,	ivy, Hedera Helix
@Κλάριος	de Klaros, 	distributing by lot
@Κλάριος1	de Klaros, 	distributing by lot
@Κλάριος2	Klarios, (fl.)	of
@Κλεψύδρα	Klepsydra (Clepsydre)	pipette
@Κλύδων	Klydôn, (h.)	wave, billow
@Κλύμενος	Klyménos,	famous or infamous
@Κλύσμα	Klysma,	liquid used for washing out
@Κλῖμαξ	Klimax (l'Échelle ou l'Échelon)	ladder
@Κλῶθες	les Fileuses,	Goddesses of fate
@Κνίδιος	de Cnide : 	of or from Cnidos
@Κνίδος	Knidos (Cnide, ruines près de Yazıköy) (v.)	Cnidos
@Κνιδόθεν	de Cnide,	from Cnidos
@Κνισοδιώκτης	Court-après-la-fumée ou le-fumet-des-viandes,	Fat-hunter
@Κνισοκόλαξ	Flatte-le-rôti,	dinner-parasite
@Κοίλη	Kœlè,	giblets of poultry
@Κοίρανος	Kœranos (le maître) (h.)	king
@Κοιογενής	see <lang="grc">Κοιογένεια</grc>	born of Coios
@Κολακοφωροκλείδης	fils de Kolakophôroklès (flatteur et voleur) (fils d'Hiéroklès)	flattering son of a thief
@Κολλητής	Kollètès,	one who glues or fastens
@Κολοφών	Kolophôn (auj. ruines près de Değirmender)	summit, top, finishing
@Κολοφώνιος	de Kolophôn : 	of or from Colophon
@Κολωνός	Kolônos (Colone) :	hill
@Κολωνῆθεν	du dème Kolônes ou Kolône,	from the deme
@Κομήτης	Komètès (le Chevelu) (h.)	wearing long hair
@Κομηταμυνίας	l'orgueilleux Amynias,	Amynias, Coxcomb-amynias
@Κομπασεύς	du dème de la Vantardise,	one of the
@Κοννᾶς	dim. de Κόννος	trifle
@Κοντοπορεία	le Trajet aux crocs,	short road
@Κονώνειος	de Conon :	of Conon
@Κοπτός	Koptos, (v.)	chopped small or pounded
@Κορίνθιος	de Corinthe, Corinthien, 	courtesan
@Κορίσκος	Koriskos,	any supposed person
@Κορινθιαστής	l'Homme aux mœurs corinthiennes, le Débauché, (titre de comédies)	whoremonger
@Κορυφή	Koryphè (le Sommet, le Pic, le Puy)	head, top
@Κορωνίς	Korônis, (f.)	crook-beaked
@Κορώνη	Korônè, (f.)	shearwater, Puffinus Kuhlii or P. anglorum
@Κοσμώ	Kosmô, (prêtresse de Pallas, à Athènes)	priestess of Pallas
@Κουραφροδίτη	Aphroditè la jeune déesse,	virgin-Aphrodite
@Κούριος	Curius, (h. rom.)	youthful
