TargetWord	LemmaWord	lsj (Liddell, Scott, Jones)
Κλεομένης	κλέω	tell of, make famous, celebrate
Κληῗδες	κλείς	clavis, claudo.
Κλυμένη	κλύμενος	famous or infamous
Κλᾶϊς	κλάω	break, break off
Κνιδία	Κνίδιος	of or from Cnidos
Κοίλη Συρία	Κοίλη	giblets of poultry
Κοίλη Συρία	Σῦρος	a Syrian
Κοίλη Συρία	Συρία	garment
Κοίλη Συρία	συρία	garment
Κοίλη Συρία	κοῖλος	hollow
Κοίλη Συρία	Σύριος	of or from Syria
Κοίλων	κοῖλος	hollow
Κοίλων	κοιλόω	hollow out
Κοινώ	κοινός	common
Κοιρανίδας	κοιρανίδης	member of a ruling house
Κολάξαϊς	κολάζω	check, chastise
Κολλίνα πύλη	πύλη	one wing of a pair of double gates
Κολοφωνία	Κολοφώνιος	of or from Colophon
Κολωναί	Κολώνη	hill, mound
Κοπτώ	Κοπτός	chopped small or pounded
Κοπτώ	κοπτός	chopped small or pounded
Κοραξοί	κοραξός	raven-black
Κορινθίως	Κορίνθιος	courtesan
Κορινθιακός	Κορίνθιος	courtesan
Κορινθικός	Κορίνθιος	courtesan
Κορινθόθι	Κόρινθος	at
Κουρίων	κούριος	youthful
Κουρίων	ἐπικουρέω	to be an
Κουρίων	κουριάω	need clipping
Κουρῆτις χθών	κουρῆτις	of the
Κουρῆτις χθών	χθών	earth
Κουσσαῖον ἔθνος	ἔθνος	number of people living together, company, body of men
Κούριον	κούριος	youthful
Κούριον	ἐπικουρέω	to be an
Κοῖλα	κοῖλος	hollow
Κοῖος	ποῖος	of what kind?
Κοῖται	κοίτη	bedstead
Κράτης	κρατέω	to be strong, powerful
Κράτων	κάρα	head
Κρέων	κρείων	ruler, lord, master
Κρήσιος	κρᾶσις	mixing, blending
Κρήτα	Κρήτη	from Crete
Κρήτα	κρήτη	creta, chalk
Κρήτας	Κρήτη	from Crete
Κρήτας	κρήτη	creta, chalk
Κρίση	κρίσις	separating, distinguishing
Κρανααί	κραναός	rocky, rugged
Κραναοί	Κραναός	rocky, rugged
Κραναοί	κραναός	rocky, rugged
Κρατέας	κρατύς	strong, mighty
Κραταιΐς	Κραταιίς	mighty weight
Κραταιΐς	κραταιίς	mighty weight
Κρεμαστή	κρεμαστός	hung, suspended
Κρεῖον ὄρος	Κρείων	ruler, lord, master
Κρεῖον ὄρος	κρείων	ruler, lord, master
Κρεῖον ὄρος	κρεῖον	meat-tray, dresser
Κρεῖον ὄρος	ὄρος	mountain, hill
Κρημνοί	κρημνός	overhanging bank
Κροκίνας	κρόκινος	of or made from saffron
Κρομμύων	κρόμμυον	onion, Allium Cepa
Κρουνοί	κρουνός	spring, well head
Κρουσὶς γῆ	Γαῖα	land, country
Κρουσὶς γῆ	γῆ	earth
Κρόνια	Κρόνιος	of Cronos
Κρόνιον	Κρόνιος	of Cronos
Κρότων	Κρότος	rattling noise
Κρότων	κρότος	rattling noise
Κρῆναι	κρήνη	well, spring, fountain
Κρῆναι	κραίνω	ṇ-y
Κρῆται	Κρήτη	from Crete
Κρῆται	κρήτη	creta, chalk
Κτήσιον	Κτήσιος	belonging to property
Κτήσιον	κτήσιος	belonging to property
Κτησίας	κτήσιος	belonging to property
Κυανῆ	κυάνεος	dark-blue, glossy-blue
Κυδίας	κυδιάω	bear oneself proudly, exult
Κυδωνία	Κυδώνιος	quinces
Κυδωνία	κυδώνιος	quinces
Κυδωνία	Κυδωνιάω	swell like a quince
Κυθνώλης συμφορά	συμφορά	bringing together, collecting
Κυκλωπεία	Κυκλώπειος	uncivilized
Κυλλήνιος	Κυλλήνη	Cyllene, a mountain in Arcadia
Κυνέας	κυνέη	dog's skin
Κυνέας	κύνεος	shameless, unabashed
Κυνίσκα	Κυνίσκη	bitch-puppy
Κυνίσκα	κυνίσκη	bitch-puppy
Κυπρία	Κύπριος	of Cyprus, Cyprian
Κυπρία	κύπριος	of copper
Κυρηναϊκός	Κυρηναικός	the disciples
Κυρτίων	κυρτιάω	to be hunchbacked
Κυτηῒς γαῖα	γαῖα	land, country
Κωφὸς λιμήν	Κωφός	blunt, dull, obtuse
Κωφὸς λιμήν	λιμήν	harbour
Κωφὸς λιμήν	κωφός	blunt, dull, obtuse
Κόρεια	κόρειος	of a maiden
Κόρυδος	κορυδός	lark
Κόσας	πόσος	of what quantity?
Κόττας	Κόσσαι	cannons
Κόττυφος	κόσσυφος	Gloss.), blackbird, Turdus merula
Κόων	κόος	cavity
Κόως	Κῶς	to Cos
Κόως	κόος	cavity
Κύδων	κύδος	reproach, abuse
Κύης	κυέω	bear in the womb, be pregnant with
Κύκη	κυκάω	stir
Κύνης	κυνάω	play the Cynic
Κύνης	κυνέω	kiss
Κύρη	κῦρος	supreme power, authority
Κύρη	κυρέω	hit, light upon
Κώης	Κῶος	caves, dens
Κώϊος	Κῷος	of, from the island
Κῆποι	Κῆπος	garden, orchard
Κῆποι	κῆπος	garden, orchard
Κῶπαι	κώπη	handle
Λάας	λάω2	seize, hold
Λάμπων	λάμπω	give light, shine
Λάμων	Λάμος	ingluvies
Λάχης	λάχη	ashare
Λέπρεον	λεπράω	have or catch leprosy
Λέσχης	Λέσχη	couch
Λέσχης	λέσχη	couch
Λήδα	λῆδος	a cheap common dress
Λήδη	λῆδος	a cheap common dress
Λήλαντον πεδίον	πεδίον	plain
Λήλαντον πεδίον	πεδάω	bind with fetters
Λίγεια	λιγύς	clear, shrill
Λίμναι	Λίμνη	pool of standing water
Λίμναι	λίμνη	pool of standing water
Λαΐειος	Λαίειος	of Laius
Λαΐς	ληίς	booty, spoil
Λαέρτας	Λαέρτης	ant
Λαέρτας	λαέρτης	ant
Λαίνας	λαῖνα	laena
Λαίνας	λάινος	of stone or marble
Λαγαριτανὸς οἶνος	οἶνος	wine
Λαμίας	Λάμια	a fabulous monster said to feed on man's flesh
Λαμητικὸς κόλπος	κόλπος	bosom, lap
Λαπέρσιος Ζεύς	Ζεύς	Zeus
Λατοΐδας	Λητοίδης	son of Leto
Λατογένεια	Λητογενής	born of Leto
Λατώ	Λητώ	of or born from Leto
Λειχομύλη	λειχήνωρ	Lick-man
Λεκτόν	Λεκτός	gathered, chosen, picked out
Λεκτόν	λεκτός	gathered, chosen, picked out
Λεοντίδας	λεοντίς	lion-shaped ornament
Λεπίδα	λεπίς	epithelial debris
Λευκή	λευκός	light, bright, clear
Λευκαὶ στῆλαι	στήλη	block of stone
Λευκαὶ στῆλαι	λευκός	light, bright, clear
Λευκόφρυς	Λεύκοφρυς	white-browed
Λευκόφρυς	λεύκοφρυς	white-browed
Λευκὴ ἀκτή	ἀκτή	headland, foreland, promontory
Λευκὴ ἀκτή	λευκός	light, bright, clear
Λεύκων	λευκόω	whiten over
Λεύσων	λεύω	stone
Λεώς	λαός	men
Ληθαῖον πεδίον	πεδίον	plain
Ληθαῖον πεδίον	λήθαιος	of or causing forgetfulness
Ληθαῖον πεδίον	πεδάω	bind with fetters
Ληθαῖος	λήθαιος	of or causing forgetfulness
Ληκυθίων	ληκύθιον	small oilflask
Ληλάντιον πεδίον	πεδίον	plain
Ληλάντιον πεδίον	πεδάω	bind with fetters
Ληναϊκός	Ληναικός	of or belonging to the
Λητοΐδης	Λητοίδης	son of Leto
Λιγυστικός	Λίγυς	bastard lovage, Laserpitium Siler
Λιμναία	λιμναῖος	of or from the marsh
Λιμνῆτις	λιμνήτης	living in marshes
Λιπάρη	Λιπάρα	of Lipara
Λιπάρη	λιπαρέω	persist, persevere, hold out
Λιπαραῖος	Λιπάρα	of Lipara
Λιπαρεῖς	λιπαρής	persisting or persevering
Λιπαρεῖς	λιπαρέω	persist, persevere, hold out
Λοξώ	λοξός	slanting, crosswise
Λούσιος	λοῦσις	washing, bathing
Λυδίας	Λυδία	a history of Lydia
Λυδίας	Λύδιος	of Lydia, Lydian
Λυδίη	Λυδία	a history of Lydia
Λυδίη	Λύδιος	of Lydia, Lydian
Λυκάων	Λύκη	morning twilight
Λυκαία	Λυκαῖος	Lycaean, Arcadian
Λυκαῖον	Λυκαῖος	Lycaean, Arcadian
Λυσίας	λύσιος	releasing, delivering
