TargetWord	Language	LexClient	LemmaWord	lsj (Liddell, Scott, Jones)
Αἰπύτιος	greek	no	Αἰπύτιος	no
Αἰσίων	greek	no	Αἰσίων	no
Αἰσίων	greek	no	αἶσις	no
Αἰσίων	greek	yes	αἴσιος	auspicious, opportune
Αἰσαγέης ὄρος	greek	yes	ὄρος	mountain, hill
Αἰσιμίδης	greek	no	Αἰσιμίδης	no
Αἰσυήτης	greek	no	Αἰσυήτης	no
Αἰσχίνης	greek	no	Αἰσχίνης	no
Αἰσχινάδης	greek	no	Αἰσχινάδης	no
Αἰσχρίων	greek	no	Αἰσχρίων	no
Αἰσχριωνίη φυλή	greek	yes	φυλή	a race, tribe
Αἰσχριωνίη φυλή	greek	no	Αἰσχριώνιος	no
Αἰσχυλίδης	greek	no	Αἰσχυλίδης	no
Αἰσχύλος	greek	no	Αἰσχύλος	no
Αἰσύμηθεν	greek	no	Αἰσύμη	no
Αἰτωλία	greek	no	Αἰτωλία	no
Αἰτωλία	greek	no	Αἰτωλίη	no
Αἰτωλία	greek	no	Αἰτώλιος	no
Αἰτωλίς	greek	no	Αἰτωλίς	no
Αἰτωλικός	greek	no	Αἰτωλικός	no
Αἰτωλός	greek	no	Αἰτωλός	no
Αἰτώλιος	greek	no	Αἰτώλιος	no
Αἱμονίδης	greek	no	Αἱμονίδης	no
Αἴας	greek	no	Αἴας	no
Αἴας	greek	no	Αἶα	no
Αἴας	greek	no	αἶα	no
Αἴγειρα	greek	no	Αἰγείρα	no
Αἴγεστα	greek	no	Αἴγεστα	no
Αἴγιλα	greek	no	Αἴγιλα	no
Αἴγιον	greek	no	Αἴγιον	no
Αἴγιον	greek	no	Αἴγιος	no
Αἴγισθος	greek	no	Αἴγισθος	no
Αἴγυος	greek	no	Αἶγυς	no
Αἴητος	greek	no	αἴητος	no
Αἴθη	greek	no	Αἴθη	no
Αἴθρα	greek	yes	Αἴθρη	clear sky
Αἴθρα	greek	yes	αἴθρη	clear sky
Αἴλιος	greek	no	Αἴλιος	no
Αἴνεια	greek	no	Αἰνείας	no
Αἴολος	greek	no	Αἴολος	no
Αἴπεια	greek	no	Αἴπεια	no
Αἴπυτος	greek	no	Αἴπυτος	no
Αἴσηπος	greek	no	Αἴσηπος	no
Αἴσυμνος	greek	no	Αἴσυμνος	no
Αἴσων	greek	no	Αἴσων	no
Αἴσωπος	greek	no	Αἴσωπος	no
Αἴτνα	greek	no	Αἰ̈τνη	no
Αἴτνα	greek	no	Αἴτνη	no
Αἶα	greek	no	Αἴας	no
Αἶα	greek	no	Αἶα	no
Αἶα	greek	no	αἶα	no
Αἶθοψ	greek	no	αἶθοψ	no
Αἷμος	greek	no	Αἷμος	no
Αἷμος	greek	no	Αἷμος	no
Αὐέντιον ὄρος	greek	yes	ὄρος	mountain, hill
Αὐαίνου λίθος	greek	yes	λίθος	stone
Αὐαίνου λίθος	greek	yes	αὐαίνω	dry
Αὐγέας	greek	no	Αὐγέης	no
Αὐγέας	greek	no	αὐγής	no
Αὐγείας	greek	no	Αὐγείας	no
Αὐγειαί	greek	no	Αὐγειαί	no
Αὐγηϊάδης	greek	no	Αὐγηϊάδης	no
Αὐγουστάλια	greek	no	Αὐγουστάλιος	no
Αὐγουστεῖον	greek	no	Αὐγουστεῖον	no
Αὐγούστειοι	greek	no	Αὐγούστειος	no
Αὐλίον	greek	yes	αὐλέω	play on the flute
Αὐλίς	greek	no	Αὐλίς	no
Αὐλιάδες νύμφαι	greek	yes	Αὐλιάδες	protecting cattle-folds
Αὐλιάδες νύμφαι	greek	yes	νύμφη	young wife, bride
Αὐλώνιος	greek	no	Αὐλώνιος	no
Αὐσέες	greek	no	Αὐσέης	no
Αὐσχίσαι	greek	no	Αὐσχίσαι	no
Αὐσόνιος	greek	no	Αὐσόνιος	no
Αὐτεσίων	greek	no	Αὐτεσίων	no
Αὐτοθαΐς	greek	yes	Αὐτοθαίς	Thais herself
Αὐτοθαΐς	greek	yes	αὐτοθαίς	Thais herself
Αὐτοκλῆς	greek	no	Αὐτοκλέης	no
Αὐτοκράτης	greek	no	Αὐτοκράτης	no
Αὐτομέδων	greek	no	Αὐτομέδων	no
Αὐτομένης	greek	no	Αὐτομένης	no
Αὐτονόη	greek	no	Αὐτονόη	no
Αὐτονόη	greek	yes	αὐτονοέω	think for oneself
Αὐτοχαρίδας	greek	no	Αὐτοχαρίδας	no
Αὐτόλυκος	greek	no	Αὐτόλυκος	no
Αὐχάται	greek	no	Αὐχάται	no
Αὔασις	greek	no	Αὔασις	no
Αὔγης	greek	no	Αὔγη	no
Αὔγης	greek	yes	αὐγέω	to shine, glitter
Αὔγιλα	greek	no	Αὔγιλα	no
Αὔξιμον	greek	no	Αὔξιμον	no
Αὔξιμον	greek	yes	αὔξιμος	promoting growth
Αὔρας	greek	no	Αὔρης	no
Αὔρας	greek	yes	αὔρα	breeze
Αὔρουγκοι	greek	no	Αὔρουγκοι	no
Αὔσονες	greek	no	Αὔσων	no
Αὔφιδος	greek	no	Αὔφιδος	no
Αὖλος	greek	no	Αὖλος	no
Βάγα	greek	no	Βάγη	no
Βάδρης	greek	no	Βάδρης	no
Βάθυλλος	greek	no	Βάθυλλος	no
Βάκις	greek	no	Βάκις	no
Βάκτριος	greek	no	Βάκτριος	no
Βάκχειον	greek	yes	Βάκχειος	of or belonging to Bacchus
Βάκχειον	greek	no	Βακχείος	no
Βάκχειον	greek	no	Βακχεῖος	no
Βάκχις	greek	no	Βάκχις	no
Βάκχων	greek	yes	Βάκχος	Bacchus
Βάκχων	greek	no	Βάκχων	no
Βάκχων	greek	yes	Βακχάω	to be in Bacchic frenzy, to rave
Βάλακρος	greek	no	Βάλακρος	no
Βάλης	greek	no	Βάλας	no
Βάλισσος	greek	no	Βαλίσσος	no
Βάπυρον ὄρος	greek	yes	ὄρος	mountain, hill
Βάρκας	greek	no	Βάρκα	no
Βάρκας	greek	no	Βάρκη	no
Βάρκη	greek	no	Βάρκη	no
Βάσθης	greek	yes	βάζω	speak, say
Βάσιλις	greek	no	Βάσιλις	no
Βάσση	greek	no	βάσσος	no
Βάσση	greek	no	βᾶσσα	no
Βάτων	greek	no	Βάτων	no
Βάτων	greek	yes	βάτον	blackberry
Βάτων	greek	yes	βάτος1	bramble, Rubus ulmifolius
Βάτων	greek	yes	βάτος2	fish
Βάτων	greek	yes	βαίνω	walk, step
Βέργη	greek	no	Βέργη	no
Βέρμιον	greek	no	Βέρμιος	no
Βέροια	greek	no	Βεροία	no
Βέρρης	greek	no	βέρρης	no
Βίας	greek	no	Βίας	no
Βίας	greek	yes	βία	bodily strength, force
Βίας	greek	yes	βιάω	constrain
Βίθθηρα	greek	no	Βίθθηρα	no
Βίστονες	greek	no	Βίστονες	no
Βίτυς	greek	no	Βίτυς	no
Βίτων	greek	no	Βίτων	no
Βίτων	greek	yes	βίτος	tyre, Edict. Diocl.
Βαΐαι	greek	yes	βαία	nurse
Βαίτων	greek	no	Βαίτων	no
Βαγράδας	greek	no	Βαγράδας	no
Βαθεῖα	greek	yes	βαθύς	deep or high
Βαθυκλῆς	greek	no	Βαθυκλέης	no
Βαθυκλῆς	greek	no	Βαθυκλεύς	no
Βακχέϐακχον ᾆσαι	greek	yes	ἀείδω	sing
Βακχίδαι	greek	no	Βακχίδης	no
Βακχίδης	greek	no	Βακχίδης	no
Βακχίς	greek	no	Βακχίς	no
Βακχεῖος	greek	yes	Βάκχειος	of or belonging to Bacchus
Βακχιάδαι	greek	no	Βακχιάδαι	no
Βακχιακός	greek	no	Βακχιακός	no
Βακχυλίδης	greek	no	Βακχυλίδης	no
Βαλίος	greek	no	Βαλίος	no
Βαλιαρίδες	greek	no	Βαλιαρίδες	no
Βαλλίων	greek	yes	βάλλις	plant
Βαλλίων	greek	no	βαλλίον	no
Βαλληναῖον ὄρος	greek	yes	ὄρος	mountain, hill
Βαντία	greek	no	Βαντία	no
Βαρσίνη	greek	no	Βαρσίνη	no
Βαρῖνος	greek	no	Βαρῖνος	no
Βασιληΐδης	greek	no	Βασιληίδης	no
Βασκάνου τάφος	greek	yes	τάφος1	funeral-rites
Βασκάνου τάφος	greek	yes	τάφος2	astonishment, amazement
Βασκάνου τάφος	greek	yes	βάσκανος	one who bewitches, sorcerer
Βασσάκης	greek	no	Βασσάκης	no
Βατή	greek	yes	βατός	passable, accessible
Βατίεια	greek	no	Βατίεια	no
Βατραχίων	greek	yes	βατράχιον	Ranunculus
Βατραχίων	greek	no	βατράχριον	no
Βαυκίς	greek	no	Βαυκίς	no
Βαῖος	greek	no	Βαῖος	no
Βαῖτις	greek	no	Βαῖτις	no
Βδελυκλέων	greek	no	Βδελυκλέων	no
Βελλεροφόντης	greek	no	Βελλεροφόντης	no
Βενδίδεια	greek	no	Βενδίδεια	no
Βενδίδεια	greek	no	Βενδίδειον	no
Βενδίδειον	greek	no	Βενδίδειον	no
Βενεουεντόν	greek	no	Βενεουεντόν	no
Βερεκυντίας	greek	no	βερεκυντίας	no
Βερεκύνθιος	greek	no	βερεκύνθιος	no
Βερόη	greek	no	Βέροη	no
Βερόη	greek	no	Βερόη	no
Βηθανία	greek	no	Βηθανία	no
Βηλίδες πύλαι	greek	yes	πύλη	one wing of a pair of double gates
Βηρυτός	greek	no	Βηρυτός	no
Βηρύτιοι	greek	no	Βηρύτιος	no
Βητριακόν	greek	no	Βητριακόν	no
Βιάνωρ	greek	no	Βιάνωρ	no
Βιθυνία	greek	no	Βιθυνίη	no
Βιθυνίς	greek	no	Βιθυνίς	no
Βισάλται	greek	no	Βισάλτης	no
Βισάλτης	greek	no	Βισάλτης	no
Βισάνθη	greek	no	Βισάνθη	no
Βισαλτία	greek	no	Βισαλτία	no
Βισαλτία	greek	no	Βισαλτίη	no
Βισαλτικός	greek	no	Βισαλτία	no
Βιστονία	greek	no	Βιστονία	no
Βιψανία παστάς	greek	yes	παστάς	porch in front of the house
Βιψανία παστάς	greek	no	πασταί	no
Βιψανία παστάς	greek	yes	παστή	case, container
Βιώ	greek	yes	βιός	bow
Βλέπυρος	greek	no	Βλέπυρος	no
Βλεψίδημος	greek	no	Βλεψίδημος	no
Βοΐδιον	greek	no	βοίδιον	no
Βοάγριος	greek	no	Βοάγριος	no
Βοίων	greek	yes	βοάω	cry aloud, shout
Βοαμίλκας	greek	no	Βοαμίλκας	no
Βοηδρομιών	greek	no	Βοηδρομιών	no
Βοηδρομιών	greek	no	βοηδρομιών	no
Βοηθοΐδης	greek	no	Βοηθοΐδης	no
Βοιωτία	greek	no	Βοιωτία	no
Βοιωτία	greek	no	Βοιώτιος	no
Βοιωτίδιον	greek	no	Βοιωτίδιον	no
Βοιωτίδιον	greek	no	βοιωτίδιον	no
Βοιωτίς	greek	no	Βοιώτιος	no
Βοιωτίς	greek	no	Βοιωτίς	no
Βοιωτικός	greek	no	βοιωτικός	no
Βοιωτικῶς	greek	no	βοιωτικός	no
Βολϐίτινον στόμα	greek	yes	στόμα	mouth
Βομίλκας	greek	no	Βομίλκας	no
Βονωνία	greek	no	Βονωνία	no
Βορέης	greek	yes	Βορέας	north wind
Βορέης	greek	no	Βορέης	no
Βοριάδης	greek	no	Βοριάδης	no
Βορρᾶς	greek	yes	Βορέας	north wind
Βορυσθενίτης	greek	no	Βορυσθενίτης	no
Βορυσθενεΐτης	greek	no	Βορυσθενείτης	no
Βορῆς	greek	yes	Βορέας	north wind
Βορῆς	greek	yes	βορά	food
Βορῆς	greek	yes	βορός	gluttonous
Βορῆς	greek	yes	βοράω	eat
Βορῆς	greek	no	βοράζω	no
Βοσπορηνοί	greek	no	Βοσπορηνός	no
Βοσπορηνοί	greek	no	βοσπορηνός	no
Βοσποριανός	greek	no	Βοσποριανός	no
Βοσπόριος	greek	no	Βοσπόριος	no
Βοσπόριος	greek	no	βοσπόριος	no
Βοττία	greek	no	Βοττίη	no
Βοττιαῖος	greek	no	Βοττιαῖος	no
Βοττική	greek	no	Βοττική	no
Βουκάτιος	greek	no	βουκάτιος	no
Βουκέφαλοι	greek	yes	Βουκέφαλος	bull-headed
Βουκέφαλοι	greek	yes	βουκέφαλος	bull-headed
Βουκεφάλας	greek	no	Βουκέφαλα	no
Βουκεφάλας	greek	no	Βουκεφάλας	no
Βουκολικὸν στόμα	greek	yes	στόμα	mouth
Βουκολικὸν στόμα	greek	yes	βουκολικός	rustic, pastoral
Βουκόλια	greek	yes	βουκόλιον	herd of cattle
Βουκόλος	greek	no	Βουκόλος	no
Βουκόλος	greek	no	βουκόλος	no
Βουπάλειος	greek	no	Βουπάλειος	no
Βουπράσιον	greek	no	Βουπράσιος	no
Βουσιρίτης	greek	no	Βουσιρίτης	no
Βουτακίδης	greek	no	Βουτακίδης	no
Βουτώ	greek	no	Βουτώ	no
Βουφράς	greek	no	Βουφράς	no
Βούδεια	greek	no	Βούδειον	no
Βούδεια	greek	no	Βουδειον	no
Βούδειον	greek	no	Βούδειον	no
Βούδειον	greek	no	Βουδειον	no
Βούδιοι	greek	no	Βούδιοι	no
Βούδορον	greek	no	Βούδορον	no
Βούπαλος	greek	no	Βούπαλος	no
Βούριοι	greek	no	Βούριος	no
Βούριχος	greek	no	Βούριχος	no
Βούτη	greek	yes	Βούτης	herdsman
Βούτη	greek	yes	βούτης	herdsman
Βούχετα	greek	no	Βούχετα	no
Βοῦκος	greek	no	βοῦκος	no
Βοῦκος	greek	yes	βουκαῖος	cowherd
Βοῦρα	greek	no	Βούρα	no
Βράγχος2	greek	yes	Βράγχος	hoarseness or sore throat causing hoarseness
Βράγχος2	greek	yes	βράγχος	hoarseness or sore throat causing hoarseness
Βρέμουσα	greek	yes	βρέμω	roar
Βρέμων	greek	yes	βρέμω	roar
Βρέννος	greek	no	Βρέννος	no
Βρίγες	greek	no	Βρίγης	no
Βραγχίδαι	greek	no	Βραγχίδαι	no
Βρασίδας	greek	no	Βρασίδης	no
Βρασίδειοι	greek	no	Βρασίδης	no
Βραυρών	greek	no	Βραυρών	no
Βραυρώνιος	greek	no	Βραυρώνιος	no
Βρεντέσιον	greek	no	Βρεντέσιον	no
Βρετανίδες νῆσοι	greek	yes	νῆσος	island
Βρεττία	greek	yes	Βρέττιος	barbarous
Βρεττανία	greek	no	Βρεττανία	no
Βρεττανικός	greek	no	Βρεττανικός	no
Βριάρεως	greek	no	βριάρεως	no
Βρισεύς	greek	no	Βρισεύς	no
Βρισηΐς	greek	no	Βρισηΐς	no
Βρομία	greek	yes	Βρόμιος	sounding
Βρομία	greek	yes	βρόμιος	sounding
Βρομερός	greek	no	Βρομερός	no
Βρυγηΐδες νῆσοι	greek	yes	νῆσος	island
Βρυσειαί	greek	no	Βρυσειαί	no
Βρυσωνοθρασυμαχειοληψικέρματοι	greek	yes	Βρυσωνοθρασυμαχειοληψικέρματος	taking coin like Bryso and Thrasymachus
Βρόγγος	greek	no	Βρόγγος	no
Βρόντης	greek	no	Βρόντης	no
Βρόντης	greek	no	βρόντης	no
Βρόντης	greek	yes	βροντάω	thunder
Βρύας	greek	no	Βρύης	no
Βρύας	greek	no	βρύα	no
Βρύγοι	greek	no	Βρύγοι	no
Βρύουσα	greek	yes	βρύω	to be full to bursting
Βρύσων	greek	no	Βρύσων	no
Βρύσων	greek	yes	βρύζω	griúti
Βρύχων	greek	yes	βρύκω	bite
Βυζάντιον	greek	no	Βυζάντιος	no
Βυζάντιος	greek	no	Βυζάντιος	no
Βυξεντῖνος οἶνος	greek	yes	οἶνος	wine
Βωλανός	greek	no	Βωλανός	no
Βωμιῆς	greek	no	Βωμοί	no
Βόγης	greek	no	Βόγης	no
Βόκχορις	greek	no	Βόκχορις	no
Βόκχος	greek	no	Βόκχος	no
Βύζας	greek	no	Βύζης	no
Βύζας	greek	no	βῦζα	no
Βύζης	greek	no	Βύζης	no
Βύζης	greek	no	βῦζα	no
Βύλλις	greek	no	Βύλλις	no
Βύσιος	greek	no	Βύσιος	no
Βῆσα	greek	yes	βαίνω	walk, step
Βῆσσος	greek	no	Βῆσσος	no
Βῶρος	greek	no	Βῶρος	no
Γάδαρα	greek	no	Γάδαρα	no
Γάλλος1	greek	yes	Γάλλος	priest of Cybele
Γάργαρον	greek	no	Γάργαρον	no
Γάργαρον	greek	no	Γάργαρος	no
Γάργαρος	greek	no	Γάργαρος	no
Γέλα	greek	no	Γέλα	no
Γέλα	greek	yes	γελάω	laugh
Γέλαι	greek	no	Γέλα	no
Γέλας	greek	no	Γέλα	no
Γέλας	greek	yes	γελάω	laugh
Γέλη	greek	yes	γελάω	laugh
Γέλων	greek	no	Γέλοι	no
Γέλων	greek	no	Γέλων	no
Γέλων	greek	yes	γέλως	laughter
Γέλων	greek	yes	γελάω	laugh
Γέμων	greek	yes	γέμος	load
Γέμων	greek	yes	γέμω	to be full
Γέμων	greek	no	γεμόω	no
Γέντιος	greek	no	Γέντιος	no
Γέργιθες	greek	no	Γέργις	no
Γέργις	greek	no	Γέργις	no
Γέργις1	greek	no	Γέργις	no
Γέργις2	greek	no	Γέργις	no
Γέρηνος	greek	no	Γέρηνος	no
Γέρροι	greek	no	Γέρρος	no
Γέρρος	greek	no	Γέρρος	no
Γέσκων	greek	no	Γέσκων	no
Γέται	greek	no	Γέται	no
Γέτας	greek	no	Γέται	no
Γήδειρα	greek	yes	Γάδειρα	a man of Cadiz
Γήρεια	greek	yes	γήρειον	thistledown
Γίγωνος	greek	no	Γίγωνος	no
Γίλλος	greek	no	Γίλλος	no
Γαίσων	greek	no	Γαίσων	no
Γαίσων	greek	no	γαῖσον	no
Γαίσων	greek	yes	γαῖσος	javelin
Γαδαρηνοί	greek	no	Γαδαρηνός	no
Γαδειρίδες πύλαι	greek	yes	πύλη	one wing of a pair of double gates
Γαδειραῖος πορθμός	greek	yes	πορθμός	ferry or place crossed by a ferry, strait, narrow sea
Γαδειραῖος πορθμός	greek	no	Γαδειραῖος	no
Γαδειρικός	greek	no	Γαδειρικός	no
Γαζίτης οἶνος	greek	yes	οἶνος	wine
Γαισωνὶς λίμνη	greek	yes	λίμνη	pool of standing water
Γαισωνὶς λίμνη	greek	no	λιμνει	no
Γαιτουλία	greek	no	Γαιτουλία	no
Γαλάξιον	greek	no	Γαλάξιος	no
Γαλάται	greek	no	Γαλάται	no
Γαλάται	greek	no	Γαλάτης	no
Γαλάτης	greek	no	Γαλάτης	no
Γαλάτης1	greek	no	Γαλάτης	no
Γαλάτων	greek	no	Γαλάτων	no
Γαλατεία	greek	no	Γαλάτεια	no
Γαλατικός	greek	no	Γαλατικός	no
Γαλατικῶς	greek	no	Γαλατικός	no
Γαλεῶται	greek	yes	γαλεώτης	gecko lizard
Γαληψός	greek	no	Γαληψός	no
Γαλλαϊκὴ χώρη	greek	yes	χώρα	space or room in which a thing is
Γαλλαϊκὴ χώρη	greek	yes	χωρέω	make room for another, give way, withdraw
Γανυμήδης	greek	no	Γανυμήδη	no
Γανυμήδης	greek	no	Γανυμήδης	no
Γανύκτωρ	greek	no	Γανύκτωρ	no
Γαράμαντες	greek	no	Γαραμάντης	no
Γαργαφία	greek	no	Γαργάφιος	no
Γαργηττός	greek	no	Γαργηττός	no
Γαυάνης	greek	no	Γαυάνης	no
Γαυλίτης	greek	no	Γαυλίτης	no
Γαυράδας	greek	no	Γαυράδας	no
Γαυρανὸς οἶνος	greek	yes	οἶνος	wine
Γαύρανον ὄρος	greek	yes	ὄρος	mountain, hill
Γεδρωσία	greek	no	Γεδρωσία	no
Γελέοντες	greek	no	Γελέοντες	no
Γελέοντες	greek	no	Γελέων	no
Γελέων	greek	no	Γέλα	no
Γελέων	greek	no	Γελέοντες	no
Γελέων	greek	no	Γελέων	no
Γελωνοί	greek	no	Γελωνός	no
Γελωνός	greek	no	Γελωνός	no
Γελωνός1	greek	no	Γελωνός	no
Γελωνός2	greek	no	Γελωνός	no
Γελωνός3	greek	no	Γελωνός	no
Γελῷος	greek	no	Γελῷος	no
Γενεῖτα Μάνα	greek	yes	Μάνης	cup
Γενεῖτα Μάνα	greek	no	μάνα	no
Γενεῖτα Μάνα	greek	yes	μάνης	cup
Γεννάδιος	greek	no	Γεννάδιος	no
Γενύκιος	greek	no	Γενύκιος	no
Γεράνα	greek	no	Γεράνα	no
Γεράνεια	greek	no	Γερανεία	no
Γεραίστιος	greek	no	Γεραίστιος	no
Γεραιστός	greek	no	Γεραιστός	no
Γερασηνοί	greek	no	Γερασηνός	no
Γερμάνιοι	greek	no	Γερμάνιοι	no
Γερμανία	greek	no	Γερμανία	no
Γερμανοί	greek	no	Γερμανός	no
Γερμανόν	greek	no	Γερμανός	no
Γερόντων λιμήν	greek	yes	Γέρων	old man
Γερόντων λιμήν	greek	yes	γέρων	old man
Γερόντων λιμήν	greek	yes	λιμήν	harbour
Γευσιστράτη	greek	no	Γευσιστράτη	no
Γεώργιος	greek	no	Γεώργιος	no
Γεώργιος	greek	no	Γεωργίος	no
Γηρυονεύς	greek	yes	Γηρυόνης	a poem on Geryon
Γηρυονεύς	greek	no	Γηρυονεύς	no
Γηρυών	greek	yes	Γηρυόνης	a poem on Geryon
Γιγαντιάς	greek	no	Γιγαντιάς	no
Γλίσας	greek	no	Γλίσας	no
Γλαυκά	greek	yes	γλαυκός	gleaming
Γλαυκέτης	greek	no	Γλαυκέτης	no
Γλαυκονόμη	greek	no	Γλαυκονόμη	no
Γλαφύραι	greek	no	Γλαφύρα	no
Γλαφύραι	greek	no	Γλαφύραι	no
Γλαύκη	greek	no	Γλαύκη	no
Γλαύκιππος	greek	no	Γλαύκιππος	no
Γλαύκων	greek	no	Γλαύκος	no
Γλαύκων	greek	no	Γλαύκων	no
Γλαύκων	greek	yes	Γλαῦκος	fish of grey colour
Γλαύκων	greek	yes	γλαύξ	the little owl, Athene noctua
Γλαύκων	greek	yes	γλαῦκος	fish of grey colour
Γλαύκων	greek	yes	γλαυκόω	dye blue-grey
Γλοῦς	greek	no	Γλοῦς	no
Γλυκέρα	greek	no	Γλυκέρα	no
Γλυκώνειος	greek	no	Γλυκώνειος	no
Γλύκη	greek	no	Γλύκη	no
Γνάθαινα	greek	no	Γνάθαινα	no
Γνήσιππος	greek	no	Γνήσιππος	no
Γνιφωνίδης	greek	no	Γνιφωνίδης	no
Γνοῦρος	greek	no	Γνοῦρος	no
Γνωσίδικος	greek	no	Γνωσίδικος	no
Γολγοί	greek	no	Γολγοί	no
Γονατᾶς	greek	no	Γονατᾶς	no
Γονόεσσα	greek	no	Γονόεσσα	no
Γονόεσσα	greek	yes	γονόεις	fruitful
Γοργίας	greek	no	Γοργίης	no
Γοργίδας	greek	no	Γοργίδας	no
Γοργίων	greek	no	Γοργίων	no
Γοργολόφα	greek	yes	Γοργολόφας	he of the Gorgon-crest
Γοργολόφης	greek	yes	Γοργολόφας	he of the Gorgon-crest
Γοργυθίων	greek	no	Γοργυθίων	no
Γοργωπὶς λίμνη	greek	yes	λίμνη	pool of standing water
Γοργωπὶς λίμνη	greek	no	λιμνει	no
Γοργόνα	greek	no	Γοργόνη	no
Γοργόνα	greek	yes	Γοργώ	the Gorgon
Γοργόνιον	greek	no	Γοργόνιον	no
Γοργόνωτος ἀσπίς	greek	yes	ἀσπίς	shield
Γοργόνωτος ἀσπίς	greek	yes	Γοργόνωτος	with the Gorgon on it
Γοργών	greek	yes	Γοργώ	the Gorgon
Γοργώπα	greek	no	Γοργώπας	no
Γοργώπας	greek	no	Γοργώπας	no
Γορδίας	greek	no	Γορδίης	no
Γορδυηνή	greek	no	Γορδυηνή	no
Γορδυηνοί	greek	no	Γορδυηνοί	no
Γορθυαίων ὄρη	greek	yes	ὄρος	mountain, hill
Γορπιαῖος μήν	greek	no	Γορπιαῖος	no
Γορπιαῖος μήν	greek	yes	μείς	month
Γορπιαῖος μήν	greek	no	μής	no
Γορπιαῖος μήν	greek	yes	μήν	verily, truly
Γορτυνία	greek	no	Γορτυνίη	no
Γορτυνία	greek	no	Γορτύνιος	no
Γορτύνιος	greek	no	Γορτύνιος	no
Γουνεύς	greek	no	Γουνεύς	no
Γρήνικος	greek	no	Γρήνικος	no
Γραικίτης	greek	no	Γραικίτης	no
Γραικός	greek	no	Γραικός	no
Γραικός	greek	no	Γραϊκός	no
Γραῖαι	greek	yes	Γραῖα	old woman
Γραῖαι	greek	no	γραίη	no
Γραῖαι	greek	yes	γραῖα	old woman
Γραῖαι	greek	no	γραῖος	no
