ἀήσσητος	ἀήττητος	non vaincu / invincible		23
ἀθάλασσος	ἀθάλαττος	non maritime, éloigné de la mer / sans expérience de la mer / non mêlé d'eau de mer		83
ἀθαμϐία	ἀθαμϐίη	intrépidité		11
ἀθάρα	ἀθάρη	bouillie de farine ou de gruau		30
ἄθροισις	ἅθροισις	action de rassembler (une armée / rassemblement, d'où		53
ἄθροισμα	ἅθροισμα	ce qui est rassemblé, d'où		26
ἀθροισμός	ἁθροισμός	rassemblement / t. de rhét. accumulation ou amplification / condensation		72
ἀθρόος	ἁθρόος	qui forme un tout, rassemblé, compact		37
Ἄθυρ	Ἀθύρ	Athyr, mois égyptien correspond, au Pyanepsiôn athénien,		56
Ἄθυρι	Ἀθυρί	Athyri, n. égypt. d'Isis,		25
Αἰάντειος	Αἰάντεος	d'Ajax		6
Αἰγαίων2	Αἰγαιών	la mer Égée		11
αἰγίθαλλος	αἰγιθαλός	mésange, oiseau		15
αἰγίκνημος	αἰγίκναμος	aux jambes de chèvre		20
Ἅιδης	ᾍδης, ᾅδης, Ἀΐδης	Hadès (Pluton) roi des enfers / p. ext. le séjour des morts, les enfers / p. suite, la mort		91
Αἰθαλία	Αἰθαλίη	l'î. d'Elbe		11
Αἰθιοπεύς	ῆος	Éthiopien		9
αἱμακορία	αἱμακουρία	d'ord. au pl. libations de sang en l'honneur des morts		54
αἱμάσσω	αἱμάττω	ensanglanter / faire jaillir le sang de, blesser, meurtrir / tuer / t. de méd. saigner ou scarifier / intr. être ensanglanté		124
αἰνίσσομαι	αἰνίττομαι	dép. dire à mots couverts, laisser entendre / pass. (ao. et pf., v. ci-dessus) être indiqué à mots couverts		107
αἰνοτάλας	αἰνοτάλαντα	adj. m. terriblement malheureux		31
αἰξάφας	αἰξαφᾶς	sorte de gâteau,		16
Αἰοληΐς	Αἰολῇς	éolienne		8
ἀΐσσω	ᾄσσω, ᾄττω, ἄττω	s'élancer impétueusement, se précipiter, en parl. de combattants, / se lever vivement / tr. agiter vivement		107
αἰσχροεργέω	αἰσχρουργέω	commettre des actions honteuses / commettre des obscénités		58
αἰσχροεργία	αἰσχρουργία	action honteuse / obscénité		27
αἰσχροεργός	αἰσχρουργός	qui commet une action honteuse / obscène		40
ἀκᾶ	ἀκᾷ	adv. doucement, légèrement		26
Ἀκαδήμεια	Ἀκαδημία	jardin d'Akadèmos, sur le Céphise, près d'Athènes, et où Platon enseignait, / p. suite, l'Académie, école de philosophie platonicienne, particul.		145
ἀκακαλίς	ἀκακαλλίς	semence du tamaris égyptien, tamaris / fleur du narcisse		56
ἀκασκᾶ	ἄκασκα	adv. sans bruit, doucement		26
ἀκαταπόνητος	ἀκαταπόνατος	infatigable		11
ἀκαυστηρίαστος	ἀκαυτηρίαστος	non marqué au fer rouge		23
Ἀκεσαμενός	Ἀκεσσαμενός	Akésamènos ou Akessaménos, roi de Thrace,		41
ἀκεσίνοσος	ἀκεσσίνοσος	qui guérit la maladie		21
ἀκεσίπονος	ἀκεσσίπονος	qui guérit ou allège la fatigue		31
ἀκεστορία	ἀκεστορίη	art de soigner ou de guérir / cure, guérison		44
ἀκεσφορία	ἀκεσφορίη	secours, guérison, salut		24
ἀκηρασία	ἀκηρασίη	pureté		6
ἀκηρυκτεί	ἀκηρυκτί	sans proclamation par héraut / sans héraut		42
ἀκκιπήσιος	ἀκιπήσιος	esturgeon		9
ἄκλαυτος	ἄκλαυστος	non pleuré, particul. en parl. de lamentations funèbres, joint à ἄθαπτος ou à ἄταφος, / qui n'a pas pleuré ou ne pleure pas		123
ἀκλεΐα	ἀκλεΐη	infamie		7
ἀκοστάω	ἀκοστέω	nourri d'orge, bien nourri		26
ἀκουάζω	ἀκουάζομαι	entendre		8
Ἀκραία	Ἀκραίη	Akræa ou Akræè, Néréide,		24
ἀκρατοπότης	ἀκρητοπότης	qui boit du vin pur, solide buveur		34
ἀκρατότης	ἀκρητότης	absence de mélange de, 		23
ἀκραχολία	ἀκρηχολίη	irritation, emportement		23
ἀκροσίδηρος	ἀκροσίδαρος	au bout garni de fer		20
Ἀκύϊνος	Ἀκυῖνος	lat. Aquinus, n. d'h. rom.		26
Ἀλαζείρ	Ἀλαζίρ	Alazeir ou Alazir, roi de Libye,		32
ἀλαλή	ἀλαλά	cri de guerre, particul. au commencement du combat / cri en gén. (cri de joie, de douleur, etc.)		96
ἀλγίων	ἄλγιστος	sup. très douloureux, le plus douloureux		40
ἀλέα2	ἀλέη	abri, refuge		12
ἄλετος	ἀλετός	action de moudre		16
Ἀλήτης	Ἀλάτας	Alètès ou Alatas, h.		20
Ἀλθαία	Ἀλθαίη	Althæa, femme de Thestios, mère de Méléagros,		45
ἁλία2	ἁλιά	mortier à piler le sel, d'où boîte au sel		41
Ἁλία	Ἁλίη	Halia ou Haliè, Néréide,		24
ἁλίπληκτος	ἁλίπλακτος	battu des flots		15
Ἀλκαιϊκός	Ἀλκαϊκός	d'Alcée, alcaïque		17
Ἀλκινάδας	Ἀλκινίδας	Alkinadas ou Alkinidas, h.		26
ἁλκυόνειον	ἀλκυόνειον	zoophyte semblable à un nid d'alcyon		36
Ἁλκυονεύς	Ἀλκυονεύς	Halkyonée ou Alkyonée, h.		25
ἁλκυών	ἀλκυών	alcyon (alcedo hispida et alcedo smyrnensis L.) oiseau de mer, / fig. qui chante d'une voix plaintive, à cause du cri de l'alcyon,		130
ἀλληλοφονία	ἀλλαλοφονία	action de s'entre-tuer		22
ἀλοητός	ἁλοητός	action de battre en grange / moment de battre en grange		55
ἀλοιμμός	ἀλοιμός	crépissure		10
Ἁλόνησος	Ἁλόννησος	Halonèse et Halonnèse (litt. î. du sel) î. et v. de la mer Égée,		64
Ἄλος	Ἅλος	Alos ou Halos, v. de Phthiotide,		32
ἅλυσις	ἄλυσις	chaîne		6
ἀλωή	ἀλῳή	grange, aire à battre le grain / toute terre aplanie pour la culture, particul. jardin, vignoble / à cause de la forme circulaire comme celle d'une aire, halo, cercle lumineux autour du soleil ou de la lune		206
ἀμαλός	ἁμαλός	mou, tendre (jeune animal) / p. suite, faible		45
ἅμαξα	ἄμαξα	chariot à quatre roues, traîné par des bœufs ou des mulets, pour porter des fardeaux (p. / le Chariot ou la Grande Ourse, constellation, / route, c. ἁμαξιτός,		158
ἁμαξιτός	ἀμαξιτός	accessible aux voitures, fréquenté par les voitures		51
ἁμαρτῆ	ἁμαρτῇ	adv. ensemble, en même temps		28
ἀμϐλυώσσω	ἀμϐλυώττω	avoir la vue faible		19
ἀμῇ	ἀμῆ, ἁμῆ	dans les cps. ἁμηγέπη,		22
ἀμίς	ἁμίς	pot de chambre		14
ἀμμίτης	ἀμμῖτις	sorte de pierre		15
ἀμοῦ	ἁμοῦ	adv. en quelque manière ; ἁ. γέ που,		36
Ἀμπρακία	Ἀμϐρακία	Ambracie (auj. Árta) v. et contrée d'Acarnanie,		47
ἀμυχνός	ἀμυχρός	non souillé, pur, saint		23
ἀμφιέπω	ἀμφέπω	litt. suivre en entourant, d'où		31
ἀμφιθάλασσος	ἀμφιθάλαττος	entouré par la mer		18
Ἀμφιθέα	Ἀμφιθέη	Amphithéa ou Amphithéè, f.		26
Ἀμφικτίονες	Ἀμφικτύονες	les Amphictions, députés des États grecs réunis en confédération politique et religieuse, et dont les assemblées se tenaient au printemps à Delphes, à l'automne à Anthèla, près des Thermopyles ;		194
Ἀμφικτιονία	Ἀμφικτυονία	confédération amphictionique / confédération, en gén.		53
Ἀμφικτιονικός	Ἀμφικτυονικός	des Amphictions, amphictionique		31
Ἀμφικτιονίς	Ἀμφικτυονίς	Ἀ. πόλις, ville faisant partie d'une ligue amphictionique / protectrice de la confédération amphictionique (Dèmèter)		116
ἀμφιμήτορες	ἀμφιμάτορες	frères ou sœurs de mères différentes		36
ἀμφίπολις	ἀμφίπτολις	adj. f. qui est hors (litt. autour) de la ville		47
ἀμῶς	ἁμῶς	dans le cps. ἀμωσγέπως, adv. d'une manière quelconque		53
ἄν3	ἄνα	ἀνέστη		6
ἀναϐαΰζω	ἀμϐαΰζω	crier, dire en criant		21
ἀνάδεμα	ἄνδεμα	lien		4
ἀναδραμεῖν	ἀναδραμοῦμαι	inf. ao. 2 et fut. d'ἀνατρέχω.		30
ἀναίδεια	ἀναιδεία	impudence / manque de pitié, ressentiment implacable		52
ἀνακροτέω	ἀγκροτέω	battre des mains, applaudir		27
ἀνακτορία	ἀνακτορίη	action de diriger (un cheval) / fig. souveraineté		49
ἀνακωχεύω	ἀνοκωχεύω	ramener en arrière, d'où retenir, arrêter / tenir en arrêt, maintenir / rester à l'ancre / p. anal. rester immobile		115
ἀνακωχή	ἀνοκωχή	suspension d'armes, trêve, armistice / en gén. période de calme, répit		70
ἀναλειψία	ἀναλειψίη	état de celui dont le corps n'est pas. graissé		46
ἀναλκεία	ἀναλκείη	faiblesse, lâcheté		18
ἀνάπαυμα	ἄμπαυμα	repos / lieu de repos		21
ἀναπλάσσω	ἀναπλάττω	modeler de nouveau, restaurer ; au pass. ῥὶς ἀναπλάσσεται, / modeler autrement, donner une nouvelle forme à / p. ext. modeler, en gén., en parl. de cire sous les ongles, / rebâtir pour soi / imaginer, inventer		209
ἀνάπνευμα	ἄμπνευμα	lieu de repos		13
ἀναπράσσω	ἀναπράττω	réclamer / se faire payer		25
ἀναπτάς	ἀναπτάμενος	part. ao. 2 act. et moy. d'ἀνίπταμαι.		37
ἀναπτυχή	ἀμπτυχή	déploiement, expansion, d'où		28
ἀνάρπαστος	ἀναρπαστός	entraîné en haut (dans le ciel, à travers l'espace, etc.) / entraîné de force		77
ἀνάσιλλος	ἀνάσιλος	touffe de cheveux sur le devant de la tête		42
ἀναστάζω	ἀνστάζω	faire tomber goutte à goutte		28
Ἀναστασία	Ἀναστασίη	Anastasiè (Anastasie) f.		24
ἀναταράσσω	ἀναταράττω	troubler profondément (un liquide, etc.)		40
ἀνατάσσω	ἀνατάττω	déranger, détruire, abolir		26
ἀνατυλίσσω	ίττω	dérouler		8
ἀναυδία	ἀναυδίη	impuissance à parler, mutisme		29
ἀνδροκτασία	ἀνδροκτασίη	massacre d'hommes, carnage, d'ord. au plur.		43
Ἀνδρομέδα	Ἀνδρομέδη	Andromède, femme de Persée,		27
ἀνελίσσω	ἀνελίττω	dérouler, développer, p. opp. à κυκλῶν καὶ συμφύρων,		52
ἀνεμία	ἀνεμίη	vent, flatuosité		16
ἄνευθε	ἄνευθεν	adv. à l'écart, loin de / prép. avec le gén.		44
ἀνήλιπος	ἀνάλιπος	sans chaussures, nu-pieds		25
ἀνηροσία	ἀνηροσίη	défaut de labour		16
ἀνήσσητος	ἀνάσσατος	non vaincu, invincible		22
ἀνθελιγμός	ἀντελιγμός	tournoiement en sens contraire		30
ἀνθησσάομαι	ἀνθηττάομαι	céder à son tour, être à son tour condescendant		47
ἀνθυπαλλάσσω	ἀνθυπαλλάττω	échanger une chose pour une autre		33
ἀνοιστός	ἀνώϊστος	au sujet de qui ou de quoi on en a référé à		43
ἀνολϐία	ἀνολϐίη	vie malheureuse		15
ἀνορύσσω	ἀνορύττω	déterrer, mettre au jour en fouillant / fouiller, particul. violer une sépulture		80
ἀντεισϐάλλω	ἀντεσϐάλλω	faire une incursion en représaille, avec ἐς et l'acc.		53
ἀντεισφέρω	ἀντεσφέρω	contribuer en retour / introduire à la place		44
ἀντεπιτάσσω	ἀντεπιτάττω	donner ordre à son tour		23
ἀντευποιέω	ἀντ' εὖ ποιέω	obliger à son tour, 		20
ἀντήεις	ἀντάεις	hostile, ennemi		15
ἀντιδιατάσσω	ἀντιδιατάττω	opposer, comparer		17
ἀντιδράσσομαι	ἀντιδράττομαι	s'emparer à son tour de, 		25
ἀντικαίω	ἀντικάω	brûler à son tour ou en retour		30
ἀντικαταλλάσσομαι	ἀντικαταλλάττομαι	échanger, d'où / (inf. ao. 2 pass. -καταλλαγῆναι) se mettre d'accord, se réconcilier avec		89
ἀντικαταπλήσσω	ἀντικαταπλήττω	effrayer à son tour		19
ἀντικατατάσσω	ἀντικατατάττω	mettre à la place de		20
ἀντικηρύσσω	ἀντικηρύττω	faire publier une déclaration contraire		39
ἀντιμετατάσσω	ἀντιμετατάττω	changer ses positions ou son ordre de bataille		46
ἀντιπαρατάσσω	ἀντιπαρατάττω	se ranger en bataille en face de (l'ennemi) / p. suite, se mettre en rébellion, résister à		90
ἀντιπέσσω	ἀντιπέττω	cuire à son tour		16
ἀντιπράσσω	ἀντιπράττω	agir à l'encontre de / s'opposer à		34
ἀντιτάσσω	ἀντιτάττω	litt. ranger en bataille contre, d'où opposer		45
ἀντιφράσσω	ἀντιφράττω	opposer une barrière / p. suite, s'interposer devant, intercepter		65
ἀντιφυλάσσω	ἀντιφυλάττω	veiller de son côté		19
ἀνυπηρέτητος	ἀνυπηρέτατος	sans serviteur		14
ἀνύσιμος	ἁνύσιμος	qui peut mener à terme, d'où efficace		37
ἀνυσίμως	ἁνυσίμως	adv. efficacement		17
ἀνυστικός	ἁνυστικός	qui conduit à un résultat, efficace		35
ἀνυστός	ἁνυστός	qu'on peut accomplir		20
ἀνύω	ἁνύω	faire aboutir, d'où		19
ἄνω1	ἅνω	mener à terme, d'où accomplir, achever		38
ἀνωνυμία	ἀνωνυμίη	manque de nom, défaut de notoriété		34
ἀνωρία	ἀνωρίη	moment inopportun		17
ἀνώχυρος	ἀνόχυρος	non fortifié		12
Ἄξεινος πόντος	Ἄξεινος	s. e. πόντος,		13
ἀξιομίμητος	ἀξιομίματος	digne d'être imité		18
ἀξουγγία	ἀξούγγιον	, graisse de porc, axonge.		26
ἀοκνία	ἀοκνίη	empressement à supporter, patience		34
Ἀονία	Ἀονίη	Aonie, autre n. de la Béotie,		29
ἄορ	ἆορ	épée que l'on portait suspendue à un baudrier (v. ἀορτήρ) / postér.		67
ἀόρχης	ἄορχις	sans testicules		15
ἀπαιόλη	ἀπαιολή	tromperie		9
ἀπαΐσσω	ἀπᾴσσω, ἀπᾴττω	s'élancer		9
ἀπαλλάσσω	ἀπαλλάττω	diriger ou pousser d'un autre côté, d'où écarter, éloigner / mettre fin à / faire changer (de dispositions, de sentiments, etc.), d'où au pass. / écarter pour se débarrasser de, se défaire de / p. suite, délivrer, affranchir / éprouver un changement ou un retour de fortune / s'éloigner de / se délivrer de, se tirer d'affaire		326
Ἀπάμα	Ἀπάμη	Apama ou Apamè, n. de f. oriental,		34
ἀπανθρωπέομαι	ἀπανθρωπεύομαι	éviter par misanthropie, 		25
ἀπάνωθε	ἀπάνωθεν	d'en haut / p. ext. loin de		27
ἀπαρασκευασία	ἀπαρασκευασίη	insuffisance de préparation ou de préparatifs		45
ἀπαράσσω	ἀπαράττω	arracher violemment, chasser, rejeter, avec ἀπό et le gén.		58
ἀπαρόρμητος	ἀπαρόρματος	non excité, inerte		18
ἀπάτερθε	ἀπάτερθεν	adv. à l'écart		14
ἀπαυαίνω	ἀφαυαίνω	dessécher entièrement		21
ἀπέκ	ἀπέξ	prép. hors de, 		15
ἀπενέπω	ἀπεννέπω	défendre, interdire / chercher à détourner par ses prières		58
ἀπεριεργία	ἀπεριεργίη	absence de travail recherché, simplicité		40
ἀπέρισσος	ἀπέριττος	sans superfluité, sans excès		28
ἀπερισσότης	ἀπεριττότης	absence de superfluité, simplicité		34
ἀπερίσσως	ἀπερίττως	sans superfluité, simplement		28
ἀπέταλος	ἀπέτηλος	dégarni de feuilles		19
ἀπογαληνιάομαι	ἀπογαληνιόομαι	devenir calme ou serein, en parl. du temps,		43
ἀπογίγνομαι	ἀπογίνομαι	être absent / se tenir à l'écart de, ne pas prendre part à / s'en aller, d'où		77
ἀπογιγνώσκω	ἀπογινώσκω	ne pas reconnaître, d'où t. de droit / repousser un avis, une résolution, renoncer à		84
ἀποθανετέον	ἀποθανητέον	vb. d'ἀποθνῄσκω.		16
ἄποθεν	ἄπωθεν	de loin / au loin / prép. loin de		33
ἀποκαίω	ἀποκάω	détruire par le feu, brûler		27
ἀποκαταλλάσσω	ἀποκαταλλάττω	réconcilier complètement		24
ἀποκηρύσσω	ἀποκηρύττω	se défaire de qqe ch. par l'entremise du crieur public, vendre à la criée / repousser par déclaration publique, d'où		116
ἀποκλαίω	ἀποκλάω	pleurer sur / cesser de pleurer		31
ἀπόκλεισις	ἀπόκλῃσις	exclusion, avec double rég. au gén. τινος τῶν πυλῶν, / interception, interruption		81
ἀπολισθαίνω	ἀπολισθάνω	litt. perdre prise en glissant, d'où glisser hors de, échapper		62
ἀπομαγδαλιά	ἀπομαγδαλία	pâte qu'on roulait dans ses mains pour les nettoyer au sortir de table, et qu'on jetait aux chiens		98
ἀπομάσσω	ἀπομάττω	enlever en pétrissant, en frottant, d'où		40
ἀπομειλίσσομαι	ἀπομειλίττομαι	calmer par la douceur, apaiser		30
ἀπομύσσω	ἀπομύττω	moucher / fig. duper, tromper / se moucher / moucher		52
ἀπονεύρωσις	ιος	aponévrose, durcissement en tendon de l'extrémité des muscles		61
ἀποξέω	ἀποξῶ	racler, gratter		15
ἀποπλήσσω	ἀποπλήττω	renverser, frapper de stupeur		29
ἀποσμύχω	ἀποσμύττω	consumer par le feu, d'où consumer, dévorer, fig.		49
ἀποσπαράσσω	ἀποσπαράττω	arracher un lambeau de, 		24
ἀποσταδά	ἀποσταδόν	en se tenant au loin, de loin		29
ἀποσφενδονάω	ἀποσφενδονέω	lancer avec la fronde ou comme avec la fronde		45
ἀποσχεῖν	ἀποσχέσθαι	inf. ao. 2 act. et moy. d'ἀπέχω.		32
ἀποτάσσω	ἀποτάττω	poster à part, détacher dans un poste / assigner		48
ἀποτροπία	ἀποτροπίη	action ou moyen de détourner		28
ἀποφράσσω	ἀποφράττω	obstruer, boucher / dégager de tout obstacle, déboucher		55
ἀπράϋντος	ἀπρήϋντος	qu'on ne peut adoucir		21
Ἀπρίλιος	Ἀπρίλλιος	d'avril		7
ἀπροαιρεσία	ἀπροαιρεσίη	défaut de choix préalable, défaut de réflexion		46
ἀπυρηνομήλη	ἀπυρομήλη	sonde (de chirurgien) sans bout arrondi		39
ἀπφά	ἄπφα	papa, t. d'amitié,		18
ἀράζω	ἀρράζω	grogner, gronder, en parl. des chiens,		38
Ἀράσπας	Ἀράσπης	Araspas, Mède,		14
ἀράσσω	ἀράττω	heurter, frapper une chose contre une autre		43
Ἀργανθώνειον	Ἀργανθώνιον	l'Arganthônéion ou l'Arganthônion, mt de Bithynie,		50
Ἀργυρίππα	Ἀργυρίππη	Argyrippa ou Argyrippè		22
Ἀργυριππανός	Ἀργυριππηνός	habitant ou originaire d'Argyrippa		34
ἀρειά	ἀρειή	imprécation, malédiction		24
ἄρεκτος	ἄρρεκτος	non fait, non accompli		22
ἀρέσαι	ἀρέσασθαι	inf. ao. act. et moy. d'ἀρέσκω.		31
ἀρητήριον	ἀρατήριον	lieu de prières, lieu d'Attique,		32
Ἀριδαῖος	Ἀρριδαῖος	Aridæos, fils de Philippe de Macédoine,		39
ἄρις1	ἄριν	sans nez, c. à d. sans flair		28
Ἀρισταγόρα	Ἀρισταγόρη	Aristagorè, f.		14
Ἀρκαδίηθεν	Ἀρκαδίηθε	adv. d'Arcadie		14
Ἄρκλος	Αἶκλος	Arklos, ou mieux Æklos, fils de Xouthos,		40
ἀρκτῆ	ἀρκτέα	s. e. δορά, peau d'ours		23
Ἀρμένη	Ἀρμήνη	Arménè ou Armène (auj. Akliman), port de Sinope,		48
ἀρρενίκανθον	ἀρσενίκανθον	autre n. de la plante γλήχων,		29
ἀρρενογενής	ἀρσενογενής	du sexe masculin		16
ἀρρενοκοιτέω	ἀρσενοκοιτέω	avoir des mœurs contre nature		29
ἀρρενόμορφος	ἀρσενόμορφος	à la figure mâle		16
ἀρρενοπληθής	ἀρσενοπληθής	rempli de mâles ou d'hommes		27
ἄρρευστος	ἄρευστος	qui ne s'écoule pas		19
ἄρρην	ἄρσην	mâle, en parl. de pers. p. opp. à θῆλυς, / fig. viril, énergique		64
ἄρροια	ἀρροίη	suppression d'un flux, d'un écoulement		38
Ἀρταϐάτας	Ἀρταϐάτης	Artabatas ou Artabatès, Perse,		30
Ἀρταξέρξης	Ἀρτοξέρξης	Artaxerxès ou Artoxerxès, n. de plus. rois de Perse,		52
ἀρτίκαυτος	ἀρτίκαυστος	nouvellement brûlé		18
ἀρτιοπέρισσος	ἀρτιοπέριττος	pair-impair, nombre pair dont le facteur est un nombre impair doublé, p.		72
ἀρτυσίλαος	ἀρτυσίλεως	ministre des sacrifices (litt. ordonnateur du peuple) à Dèlos, ou p.		68
ἀρύϐαλλος	ἀρύϐαλος	bourse qui s'ouvre et se ferme à l'aide de cordons / vase de col étroit et de forme analogue à cette bourse		107
ἀρχίατρος	ἀρχιατρός	grand médecin		13
Ἀρχιδάμιος	Ἀρχιδάμειος πόλεμος	la guerre d'Arkhidamos, nom donné à la première période de la guerre du Péloponnèse,		84
ἀσάλεια	ἀσαλία	tranquillité, calme		19
Ἀσδρούϐας	Ἀσρούϐας	Asdrubal, général carthaginois,		31
Ἀσίας	Ἀσίης	Asias ou Asiès, h.		18
Ἀσίναρος	Ἀσιναρός	l'Asinaros, fl. de Sicile,		26
Ἀσκανία	Ἀσκανίη	l'Askanie		9
Ἀσκληπιεῖον	Ἀσκληπίειον	temple d'Asklèpios		18
ἀσπαραγία	ἀσφαραγία	plant d'asperges		16
ἀσπάραγος	ἀσφάραγος	asperge / tige naissante, jeune pousse		38
Ἀσσακανός	Ἀσσακηνός	Assakanos ou Assakènos, chef indien,		36
Ἀσταϐόρας	Ἀσταϐόρρας	Astaboras ou Astaborrhas		24
ἀστρεπτεί	ἀστρεπτί	adv. sans se détourner		22
ἀσυγκρότητος	ἀξυγκρότητος	non déjà rassemblé, c. à d. qu'on prend n'importe où, qui se trouve sous la main / non ramassé, peu serré, lâche (style)		120
ἀσύμϐατος	ἀξύμϐατος	qui ne peut se réunir, d'où		27
ἀσύμμετρος	ἀξύμμετρος	qui n'a pas de commune mesure / disproportionné		47
ἀσύμφωνος	ἀξύμφωνος	dont le son n'est pas d'accord, discordant / qui ne parle pas la même langue		76
ἀσυνακόλουθος	ἀξυνακόλουθος	sans suivants, sans suite		25
ἀσύνθετος	ἀξύνθετος	non composé, simple / non ajusté, non ordonné, confus		53
ἀσύντακτος	ἀξύντακτος	non rangé ensemble, part. non en ordre de bataille / désordonné, indiscipliné / non réuni, p. opp. à ἀθρόος, / mal ajusté, mal équilibré / non inscrit sur une liste / non préparé		178
Ἀτάϐυρον	Ἀτάϐυρος	autres n. d'Ἀταϐύριον,		22
ἀτημελία	ἀτημελίη	négligence		10
ἀτρακτυλίς	ἀτρακτυλλίς	sorte de chardon (carthamus lanatus L.) dont la tige servait à fabriquer des fuseaux,		85
ἀτράφαξις	ἀτράφαξυς	arroche		7
ἀτράχυντος	ἀτρήχυντος	non exaspéré		12
ἀτρέμα	ἀτρέμας	adv. sans même un tremblement, d'où		35
ἀτροπία	ἀτροπίη	inflexibilité, d'où		19
ἅττα	ἅτινα	plur. neutre de ὅστις		21
ἀττάγας	ἀτταγᾶς	sorte de perdrix,		17
Ἀττικία	Ἀττικίη	Attikiè, f.		11
αὐαίνω	αὑαίνω	tr. faire sécher / intr. se dessécher, être desséché, être sec		62
αὔανσις	αὕανσις	dessèchement		12
Αὐγέας	Αὐγείας	Augéas ou Augias, h.		20
αὐγῆτις	αὐγῖτις	sorte de pierre précieuse,		26
Αὐεντῖνος	Αὐουεντῖνος λόφος	le mt Aventin		13
αὐθάδεια	αὐθαδία	confiance présomptueuse, suffisance, infatuation, arrogance		59
αὔλειος	αὔλειος	de la cour (d'une maison)		25
αὐξίς	αὖξις	).		2
αὖος	αὗος	sec, desséché (bois, terre, fruit, etc.) / p. anal.		51
αὐότης	αὑότης	sécheresse		10
Αὔρα	Αὔρη	Aura, f.		8
αὐταγρεσία	αὐταγρεσίη	choix volontaire		16
